iter	MultiRMSE
0	485.8723673
1	485.836475
2	485.6644147
3	485.5581191
4	485.4630749
5	485.2851629
6	485.2112149
7	485.0687227
8	484.9331563
9	484.85187
10	484.7826175
11	484.631935
12	484.4072842
13	484.2537013
14	484.12645
15	483.9986288
16	483.8885885
17	483.8532204
18	483.6685279
19	483.5029355
20	483.3588182
21	483.1670982
22	483.0781271
23	482.9826565
24	482.9474191
25	482.8139239
26	482.6915812
27	482.6015116
28	482.4848899
29	482.29074
30	482.1480211
31	481.976733
32	481.8588916
33	481.8000356
34	481.6903583
35	481.6556619
36	481.523411
37	481.4888411
38	481.3614273
39	481.3120303
40	481.1792163
41	481.1235169
42	481.0296025
43	480.9846935
44	480.850386
45	480.7237083
46	480.6272982
47	480.5155106
48	480.4477745
49	480.2726053
50	480.1859207
51	480.0630878
52	479.8981632
53	479.7752227
54	479.6174559
55	479.5746995
56	479.4614395
57	479.2895573
58	479.1365016
59	479.0069751
60	478.8757283
61	478.7498741
62	478.6778407
63	478.5400686
64	478.434926
65	478.2988625
66	478.0043227
67	477.9192189
68	477.7882221
69	477.6616182
70	477.5695621
71	477.4813375
72	477.3739384
73	477.3101086
74	477.0715544
75	476.943374
76	476.8565975
77	476.6861659
78	476.5382928
79	476.3783969
80	476.1880801
81	476.1039975
82	475.9172844
83	475.8695036
84	475.6863565
85	475.5398388
86	475.4447928
87	475.2605616
88	475.1701114
89	475.0154651
90	474.9200471
91	474.7850666
92	474.6659902
93	474.5436569
94	474.4754405
95	474.4149447
96	474.288988
97	474.0327265
98	473.8556083
99	473.7092626
100	473.6013038
101	473.5605948
102	473.4439657
103	473.2159376
104	473.1275804
105	472.9737346
106	472.8806967
107	472.6866573
108	472.5750114
109	472.4666003
110	472.3881498
111	472.2456663
112	472.1570438
113	472.0260525
114	471.8908162
115	471.805168
116	471.7737496
117	471.685638
118	471.5757787
119	471.4227411
120	471.3126178
121	471.1367401
122	470.9931289
123	470.9619221
124	470.8755409
125	470.7298842
126	470.6423323
127	470.5189965
128	470.3671038
129	470.3013031
130	470.214317
131	470.1835544
132	470.0383743
133	469.8180687
134	469.711313
135	469.6636345
136	469.5288388
137	469.4982195
138	469.3679813
139	469.3028126
140	469.2029575
141	469.1129273
142	468.9870638
143	468.8906205
144	468.766661
145	468.6666537
146	468.5173171
147	468.4527305
148	468.3634064
149	468.2350091
150	468.2049709
151	468.0948054
152	467.9225972
153	467.8336015
154	467.7261568
155	467.6054941
156	467.473854
157	467.3909737
158	467.2821454
159	467.1529752
160	467.0327991
161	466.9131464
162	466.7599244
163	466.6177637
164	466.4686114
165	466.3850078
166	466.2275886
167	466.1982145
168	466.0631288
169	465.9998394
170	465.8716301
171	465.8424177
172	465.6953113
173	465.5907695
174	465.5616571
175	465.3376747
176	465.2345832
177	465.1234077
178	465.0152773
179	464.9124477
180	464.8381754
181	464.6855743
182	464.4805539
183	464.3687902
184	464.2556108
185	464.0978071
186	463.9838879
187	463.9065635
188	463.8702887
189	463.7680683
190	463.6862258
191	463.4584687
192	463.3242965
193	463.1734471
194	463.0117795
195	462.7561039
196	462.6474338
197	462.5859531
198	462.5147399
199	462.4148825
200	462.291167
201	462.1767524
202	462.0727131
203	461.9387237
204	461.8548836
205	461.7293992
206	461.6285069
207	461.5820242
208	461.461414
209	461.3857163
210	461.2642369
211	461.1753471
212	460.9570595
213	460.8541644
214	460.7733032
215	460.7237436
216	460.6889144
217	460.5657342
218	460.4850627
219	460.3222684
220	460.200016
221	460.1548472
222	459.9865856
223	459.9154703
224	459.8123579
225	459.7193143
226	459.6918216
227	459.4981001
228	459.4146857
229	459.3314228
230	459.304086
231	459.2845873
232	459.2392825
233	459.2120508
234	459.0293264
235	458.9122312
236	458.7516972
237	458.5886623
238	458.5294483
239	458.4547722
240	458.3742182
241	458.2947697
242	458.2602229
243	458.2332958
244	458.1544885
245	458.0049524
246	457.8266987
247	457.6948637
248	457.5751578
249	457.4449947
250	457.3453996
251	457.2138185
252	457.1146613
253	456.9967863
254	456.9702763
255	456.9266574
256	456.8025908
257	456.6967244
258	456.5992631
259	456.4765659
260	456.2953593
261	456.1396045
262	456.0176813
263	455.8626495
264	455.7260355
265	455.5839488
266	455.5142492
267	455.4708746
268	455.357669
269	455.2629644
270	455.1571992
271	455.097544
272	454.9305398
273	454.8093574
274	454.6492714
275	454.5372098
276	454.4705329
277	454.2411044
278	454.0666305
279	454.0161975
280	453.9735165
281	453.9309167
282	453.806689
283	453.7673773
284	453.6861441
285	453.6122599
286	453.5869287
287	453.4871894
288	453.3333157
289	453.2910863
290	453.2411977
291	453.0619987
292	452.916983
293	452.8002059
294	452.5638296
295	452.4424257
296	452.3351173
297	452.187664
298	452.0932139
299	451.9967961
300	451.9196949
301	451.8947424
302	451.8698384
303	451.7596347
304	451.7348226
305	451.6395027
306	451.541738
307	451.3801137
308	451.3154469
309	451.22236
310	451.0848181
311	450.9862591
312	450.8546157
313	450.6503504
314	450.5766985
315	450.5031818
316	450.4207212
317	450.3654076
318	450.235039
319	450.1423217
320	450.0295104
321	449.9142785
322	449.801418
323	449.6512374
324	449.5892135
325	449.4475607
326	449.3307525
327	449.2577846
328	449.0594662
