iter	Passed	Remaining
0	13	476278
1	25	445758
2	38	443418
3	50	438651
4	62	438436
5	74	435909
6	87	435839
7	99	433199
8	106	414644
9	113	398648
10	120	384257
11	134	392876
12	147	395959
13	159	398510
14	171	400076
15	174	381467
16	186	384578
17	191	371549
18	203	374466
19	215	376554
20	219	366160
21	232	369128
22	245	372922
23	257	374838
24	268	376129
25	281	378254
26	293	380692
27	306	382390
28	317	382889
29	330	385734
30	343	387471
31	346	378184
32	357	378704
33	369	379658
34	380	380110
35	392	381308
36	404	381809
37	416	382961
38	428	383868
39	439	384331
40	452	385448
41	464	386376
42	470	382812
43	482	383443
44	493	383662
45	505	383994
46	516	384350
47	527	384453
48	539	384780
49	551	385463
50	562	385655
51	573	385741
52	586	386427
53	598	387130
54	604	384125
55	617	385230
56	628	385526
57	640	385650
58	643	380895
59	654	380937
60	665	381106
61	676	381415
62	694	384941
63	700	382380
64	711	382647
65	723	382895
66	734	383036
67	746	383483
68	757	383597
69	770	384608
70	782	385024
71	793	385166
72	805	385576
73	816	385597
74	828	385592
75	840	386069
76	851	386141
77	862	386054
78	868	384000
79	879	384055
80	891	384149
81	902	384366
82	914	384790
83	928	385826
84	941	386542
85	953	387144
86	967	388226
87	979	388650
88	983	385924
89	996	386435
90	1008	386987
91	1022	387899
92	1029	386330
93	1032	383361
94	1044	383667
95	1055	383699
96	1067	384129
97	1079	384429
98	1091	384677
99	1102	384744
100	1114	384970
101	1126	385291
102	1137	385534
103	1149	385668
104	1153	383391
105	1157	381066
106	1168	381165
107	1175	379689
108	1187	380070
109	1198	380188
110	1202	378011
111	1214	378450
112	1227	378996
113	1239	379379
114	1253	380218
115	1265	380492
116	1276	380684
117	1281	378705
118	1292	378881
119	1303	378995
120	1315	379277
121	1327	379443
122	1339	379740
123	1351	380240
124	1364	380739
125	1377	381263
126	1389	381608
127	1393	379743
128	1406	380218
129	1418	380561
130	1430	380743
131	1436	379515
132	1448	379710
133	1459	379840
134	1466	378655
135	1477	378759
136	1488	378850
137	1500	378956
138	1506	377877
139	1517	377970
140	1530	378334
141	1542	378531
142	1553	378679
143	1564	378744
144	1576	378894
145	1587	378944
146	1598	379002
147	1609	379098
148	1621	379164
149	1632	379177
150	1645	379729
151	1656	379772
152	1668	379921
153	1679	379978
154	1690	380039
155	1701	380126
156	1713	380363
157	1725	380610
158	1737	380705
159	1743	379695
160	1755	379840
161	1766	379934
162	1770	378432
163	1782	378553
164	1795	378965
165	1799	377541
166	1810	377683
167	1822	377848
168	1833	377958
169	1844	377964
170	1856	378064
171	1858	376244
172	1868	376251
173	1880	376336
174	1887	375574
175	1900	375965
176	1916	377074
177	1929	377376
178	1941	377699
179	1954	378062
180	1966	378338
181	1970	377022
182	1982	377131
183	1993	377227
184	2005	377359
185	2016	377372
186	2022	376499
187	2033	376504
188	2045	376687
189	2056	376806
190	2068	376943
191	2079	376977
192	2090	377056
193	2102	377199
194	2113	377246
195	2120	376460
196	2126	375663
197	2137	375754
198	2149	375833
199	2160	375887
200	2171	375930
201	2182	375974
202	2193	376021
203	2200	375262
204	2206	374507
205	2217	374607
206	2229	374697
207	2240	374773
208	2252	374893
209	2264	375071
210	2268	373955
211	2279	374054
212	2291	374170
213	2302	374321
214	2305	373007
215	2317	373153
216	2328	373268
217	2331	371946
218	2335	370857
219	2339	369821
220	2350	369936
221	2362	370071
222	2368	369435
223	2380	369496
224	2392	369717
225	2403	369818
226	2409	369151
227	2421	369288
228	2432	369410
229	2444	369527
230	2455	369645
231	2467	369780
232	2474	369229
233	2487	369573
234	2500	369857
235	2511	369976
236	2523	370204
237	2535	370294
238	2546	370419
239	2558	370500
240	2569	370593
241	2580	370666
242	2583	369509
243	2589	368867
244	2600	368916
245	2611	368976
246	2622	369031
247	2633	369098
248	2640	368485
249	2651	368568
250	2663	368711
251	2675	368899
252	2686	368980
253	2689	367866
254	2700	367922
255	2711	368014
256	2722	368082
257	2726	367159
258	2745	368256
259	2751	367669
260	2762	367742
261	2773	367798
262	2785	367868
263	2796	367952
264	2807	367992
265	2818	368049
266	2830	368146
267	2841	368189
268	2852	368253
269	2858	367744
270	2871	368039
271	2874	367055
272	2879	366227
273	2891	366412
274	2907	367124
275	2919	367327
276	2931	367513
277	2934	366517
278	2946	366689
279	2958	366843
280	2965	366393
281	2977	366560
282	2989	366714
283	3000	366823
284	3011	366857
285	3018	366394
286	3030	366502
287	3041	366576
288	3045	365834
289	3048	364859
290	3060	365029
291	3072	365208
292	3083	365288
293	3095	365449
294	3106	365499
295	3118	365576
296	3129	365711
297	3141	365777
298	3153	365934
299	3164	366008
300	3175	366121
301	3187	366223
302	3198	366301
303	3209	366341
304	3221	366449
305	3232	366529
306	3245	366710
307	3257	366861
308	3268	366971
309	3279	367040
310	3291	367101
311	3302	367175
312	3314	367310
313	3325	367367
314	3337	367496
315	3348	367570
316	3360	367648
317	3371	367721
318	3382	367785
319	3393	367814
320	3405	367866
321	3416	367937
322	3428	368036
323	3431	367208
324	3437	366756
325	3441	366060
326	3453	366144
327	3464	366244
328	3476	366404
329	3490	366674
330	3502	366852
331	3509	366456
332	3513	365748
333	3524	365840
334	3536	365940
335	3538	365103
336	3550	365212
337	3562	365300
338	3573	365414
339	3585	365495
340	3597	365630
341	3608	365698
342	3620	365817
343	3632	365931
344	3643	366004
345	3654	366037
346	3666	366112
347	3677	366154
348	3688	366247
349	3700	366303
350	3711	366374
351	3723	366498
352	3734	366569
353	3746	366639
354	3757	366669
355	3768	366721
356	3779	366775
357	3790	366831
358	3802	366877
359	3813	366936
360	3826	367162
361	3838	367285
362	3851	367471
363	3863	367580
364	3875	367726
365	3891	368223
366	3898	367860
367	3910	368012
368	3922	368102
369	3933	368110
370	3935	367332
371	3946	367374
372	3952	366959
373	3964	367013
374	3966	366276
375	3978	366359
376	3982	365752
377	3993	365812
378	4005	365907
379	4017	365980
380	4028	366071
381	4040	366130
382	4051	366183
383	4062	366233
384	4073	366267
385	4085	366318
386	4087	365590
387	4099	365665
388	4110	365728
389	4121	365742
390	4132	365820
391	4143	365850
392	4154	365873
393	4166	365924
394	4178	366028
395	4189	366108
396	4200	366160
397	4212	366243
398	4224	366343
399	4236	366435
400	4247	366516
401	4259	366550
402	4270	366595
403	4274	366001
404	4278	365425
405	4280	364725
406	4291	364787
407	4303	364840
408	4315	365004
409	4327	365061
410	4338	365143
411	4350	365195
412	4361	365275
413	4373	365369
414	4387	365626
415	4399	365729
416	4411	365856
417	4423	365938
418	4434	365962
419	4446	366081
420	4457	366135
421	4468	366166
422	4480	366232
423	4491	366252
424	4502	366283
425	4505	365626
426	4516	365702
427	4527	365727
428	4538	365773
429	4550	365820
430	4561	365843
431	4572	365884
432	4583	365909
433	4594	365965
434	4598	365428
435	4610	365527
436	4622	365588
437	4633	365649
438	4640	365351
439	4652	365403
440	4658	365076
441	4669	365120
442	4681	365201
443	4693	365255
444	4705	365352
445	4716	365395
446	4727	365453
447	4738	365482
448	4750	365525
449	4761	365553
450	4765	365031
451	4776	365090
452	4787	365124
453	4799	365195
454	4810	365237
455	4817	364949
456	4830	365086
457	4842	365196
458	4854	365325
459	4866	365433
460	4868	364784
461	4872	364268
462	4876	363754
463	4894	364313
464	4906	364391
465	4917	364417
466	4928	364436
467	4934	364128
468	4938	363624
469	4949	363642
470	4961	363732
471	4965	363260
472	4978	363375
473	4989	363420
474	5000	363446
475	5011	363491
476	5022	363519
477	5033	363546
478	5044	363577
479	5055	363601
480	5067	363651
481	5078	363715
482	5090	363804
483	5092	363185
484	5104	363248
485	5116	363344
486	5128	363417
487	5139	363495
488	5142	362943
489	5149	362693
490	5161	362798
491	5173	362871
492	5185	362955
493	5196	362980
494	5198	362360
495	5209	362398
496	5215	362094
497	5227	362135
498	5238	362175
499	5249	362215
500	5260	362253
501	5266	361948
502	5278	361979
503	5289	362004
504	5295	361709
505	5301	361419
506	5312	361456
507	5325	361589
508	5337	361682
509	5349	361755
510	5353	361308
511	5365	361397
512	5377	361493
513	5388	361554
514	5400	361651
515	5412	361719
516	5415	361190
517	5427	361286
518	5438	361339
519	5450	361423
520	5462	361485
521	5473	361529
522	5480	361259
523	5491	361307
524	5497	361027
525	5510	361130
526	5516	360839
527	5519	360330
528	5530	360376
529	5534	359952
530	5545	360002
531	5557	360053
532	5568	360096
533	5579	360131
534	5591	360187
535	5597	359906
536	5608	359962
537	5620	359996
538	5624	359574
539	5635	359614
540	5646	359658
541	5657	359688
542	5668	359734
543	5680	359777
544	5691	359815
545	5702	359873
546	5714	359953
547	5719	359547
548	5730	359606
549	5742	359686
550	5754	359754
551	5766	359842
552	5777	359912
553	5790	360037
554	5802	360146
555	5814	360230
556	5826	360321
557	5839	360420
558	5851	360510
559	5862	360568
560	5866	360161
561	5883	360520
562	5895	360600
563	5907	360677
564	5919	360770
565	5931	360844
566	5942	360908
567	5954	360946
568	5965	360967
569	5976	361021
570	5987	361041
571	5998	361062
572	6010	361099
573	6021	361151
574	6032	361177
575	6044	361223
576	6055	361269
577	6067	361336
578	6071	360937
579	6083	361000
580	6094	361042
581	6105	361087
582	6117	361140
583	6129	361202
584	6140	361231
585	6151	361251
586	6162	361273
587	6173	361303
588	6184	361315
589	6195	361342
590	6206	361360
591	6217	361381
592	6228	361415
593	6240	361460
594	6251	361499
595	6262	361530
596	6273	361547
597	6275	361034
598	6286	361056
599	6298	361125
600	6311	361259
601	6324	361352
602	6330	361122
603	6342	361179
604	6355	361317
605	6367	361380
606	6379	361457
607	6391	361521
608	6402	361567
609	6406	361186
610	6417	361216
611	6428	361238
612	6439	361243
613	6452	361338
614	6456	360967
615	6462	360712
616	6473	360741
617	6484	360774
618	6495	360799
619	6502	360576
620	6515	360694
621	6527	360754
622	6538	360789
623	6549	360825
624	6560	360840
625	6572	360915
626	6583	360942
627	6595	360967
628	6601	360731
629	6612	360751
630	6619	360520
631	6630	360578
632	6642	360654
633	6654	360692
634	6665	360750
635	6677	360788
636	6688	360833
637	6701	360917
638	6712	360976
639	6724	361023
640	6736	361088
641	6740	360737
642	6752	360777
643	6764	360849
644	6776	360959
645	6789	361068
646	6796	360886
647	6809	361007
648	6822	361109
649	6836	361279
650	6848	361373
651	6861	361472
652	6890	362444
653	6903	362566
654	6915	362606
655	6926	362651
656	6939	362724
657	6951	362814
658	6962	362840
659	6975	362912
660	6986	362953
661	6998	363008
662	7009	363024
663	7020	363041
664	7024	362688
665	7036	362726
666	7037	362267
667	7049	362288
668	7060	362330
669	7071	362345
670	7082	362365
671	7095	362474
672	7107	362529
673	7119	362575
674	7131	362629
675	7142	362651
676	7153	362669
677	7165	362711
678	7176	362733
679	7187	362759
680	7190	362353
681	7201	362386
682	7213	362429
683	7224	362458
684	7235	362479
685	7247	362497
686	7258	362539
687	7270	362581
688	7283	362696
689	7296	362794
690	7302	362587
691	7315	362666
692	7319	362340
693	7330	362369
694	7341	362390
695	7353	362444
696	7365	362471
697	7376	362506
698	7380	362187
699	7393	362275
700	7404	362288
701	7415	362317
702	7426	362328
703	7437	362347
704	7449	362376
705	7460	362401
706	7471	362412
707	7484	362492
708	7495	362527
709	7507	362564
710	7518	362582
711	7529	362595
712	7540	362608
713	7551	362623
714	7562	362633
715	7573	362661
716	7585	362677
717	7596	362715
718	7608	362758
719	7620	362799
720	7631	362835
721	7635	362512
722	7647	362548
723	7658	362585
724	7671	362680
725	7684	362775
726	7696	362826
727	7707	362860
728	7719	362884
729	7723	362564
730	7735	362657
731	7748	362749
732	7761	362841
733	7773	362904
734	7780	362735
735	7784	362424
736	7788	362106
737	7795	361926
738	7807	361986
739	7814	361790
740	7826	361862
741	7833	361684
742	7844	361696
743	7851	361484
744	7862	361533
745	7888	362238
746	7900	362275
747	7912	362302
748	7918	362095
749	7922	361773
750	7924	361401
751	7936	361427
752	7947	361470
753	7954	361264
754	7965	361289
755	7976	361307
756	7988	361340
757	7999	361381
758	8011	361413
759	8017	361219
760	8029	361246
761	8040	361275
762	8051	361302
763	8064	361364
764	8071	361197
765	8082	361233
766	8089	361071
767	8101	361091
768	8112	361110
769	8124	361158
770	8130	360953
771	8141	360969
772	8145	360665
773	8157	360723
774	8168	360744
775	8180	360778
776	8192	360823
777	8203	360850
