iter	MultiRMSE
0	458.8544618
1	458.6705017
2	458.4508187
3	458.3778627
4	458.177983
5	457.9345097
6	457.8491485
7	457.6066193
8	457.3972541
9	457.2253064
10	457.0299857
11	456.8524481
12	456.7056306
13	456.4735587
14	456.2860686
15	456.108339
16	455.8914965
17	455.7876761
18	455.672924
19	455.4844305
20	455.4038998
21	455.2938187
22	455.1168243
23	454.8222639
24	454.6579241
25	454.5140376
26	454.3363983
27	454.2308892
28	454.0536672
29	453.898317
30	453.772946
31	453.6239768
32	453.3265091
33	453.1040554
34	452.9486191
35	452.7490463
36	452.5765758
37	452.4261611
38	452.2422921
39	452.0285069
40	451.724871
41	451.5546099
42	451.3371046
43	451.1426465
44	450.9967468
45	450.8668347
46	450.6989234
47	450.4808311
48	450.3474824
49	450.1704184
50	449.9430571
51	449.6370677
52	449.4026051
53	449.1513293
54	448.9562981
55	448.7956495
56	448.5758646
57	448.4117179
58	448.0977194
59	447.9357366
60	447.8110571
61	447.5375011
62	447.355254
63	447.1559119
64	447.0351294
65	446.9278967
66	446.7495817
67	446.5680254
68	446.4415834
69	446.3059816
70	445.9964707
71	445.7307258
72	445.5673054
73	445.3017233
74	445.0724417
75	444.9312862
76	444.705222
77	444.6046689
78	444.3926389
79	444.3420772
80	444.2516003
81	443.9848924
82	443.7731059
83	443.6128261
84	443.3956839
85	443.2014525
86	443.027898
87	442.8194019
88	442.6468238
89	442.406115
90	442.2884384
91	442.1171062
92	441.980535
93	441.7563012
94	441.6163079
95	441.3025566
96	441.1514598
97	440.9801448
98	440.7918267
99	440.597211
100	440.4655371
101	440.3293254
102	440.1772865
103	439.9946001
104	439.8009822
105	439.5256585
106	439.2646544
107	439.1009159
108	438.9326172
109	438.7657942
110	438.569312
111	438.4132708
112	438.24191
113	437.965369
114	437.8152346
115	437.6934717
116	437.5861122
117	437.3858501
118	437.1894237
119	436.961002
120	436.8046752
121	436.6974596
122	436.4329376
123	436.2301425
124	436.0188182
125	435.9132022
126	435.741284
127	435.5501409
128	435.4065638
129	435.2251746
130	434.9618691
131	434.7060111
132	434.4595967
133	434.3044521
134	434.0658288
135	433.9391208
136	433.8072509
137	433.6810506
138	433.5939337
139	433.5101808
140	433.3713976
141	433.1531925
142	433.0192262
143	432.8574118
144	432.7016081
145	432.5345991
146	432.3023194
147	432.107505
148	431.9610553
149	431.8056631
150	431.5641099
151	431.4249842
152	431.2541023
153	430.9720033
154	430.82423
155	430.6599862
156	430.4042622
157	430.271101
158	430.1143447
159	429.9763812
160	429.7527967
161	429.5910475
162	429.4254799
163	429.2195915
164	429.0718174
165	428.8869822
166	428.6956971
167	428.4978169
168	428.3364893
169	428.1320349
170	427.8389186
171	427.7458669
172	427.5934766
173	427.3437939
174	427.121332
175	427.060722
176	426.8993797
177	426.7717448
178	426.5383017
179	426.3862454
180	426.1627615
181	426.043099
182	425.8857356
183	425.7738628
184	425.6001948
185	425.3742492
186	425.3004021
187	425.072517
188	424.8412023
189	424.6162391
190	424.3801592
191	424.2141442
192	424.0889491
193	423.8676139
194	423.6023775
195	423.4824968
196	423.3203993
197	423.1368845
198	423.0241686
199	422.8937034
200	422.7631207
201	422.5036612
