iter	Passed	Remaining
0	12	448406
1	25	447463
2	38	446544
3	49	434978
4	61	431886
5	72	423175
6	84	420892
7	96	421561
8	103	400969
9	110	385484
10	116	372050
11	128	375997
12	140	377918
13	151	379101
14	162	379641
15	165	361480
16	179	368628
17	183	357378
18	196	361898
19	208	365412
20	212	354694
21	224	356644
22	235	358890
23	247	361100
24	259	363060
25	271	365280
26	283	367714
27	295	369129
28	307	371200
29	319	372914
30	331	374020
31	334	365415
32	346	366980
33	358	368776
34	370	370066
35	382	371513
36	394	372719
37	406	374399
38	418	375089
39	430	376210
40	442	377721
41	454	378556
42	461	375169
43	473	375917
44	485	376876
45	496	377573
46	508	378205
47	520	378873
48	532	379858
49	544	380383
50	556	381127
51	568	381916
52	580	383076
53	594	384659
54	601	382304
55	614	383576
56	627	384983
57	640	385946
58	643	380897
59	655	381570
60	667	382347
61	678	382619
62	690	382946
63	697	380547
64	708	380957
65	720	381151
66	731	381428
67	743	381921
68	754	382162
69	766	382522
70	778	383064
71	790	383596
72	803	384386
73	815	385102
74	828	385704
75	840	386129
76	853	387153
77	866	387923
78	873	386133
79	886	386891
80	898	387244
81	909	387354
82	923	388401
83	934	388601
84	946	388983
85	960	389769
86	973	390504
87	985	390876
88	989	388158
89	1002	388761
90	1014	389293
91	1026	389510
92	1032	387720
93	1035	384631
94	1048	385064
95	1059	385187
96	1070	385200
97	1082	385404
98	1093	385455
99	1104	385498
100	1116	385619
101	1127	385763
102	1139	386008
103	1152	386709
104	1156	384484
105	1161	382351
106	1174	382865
107	1181	381678
108	1195	382623
109	1208	383437
110	1213	381339
111	1226	382061
112	1239	382695
113	1252	383316
114	1265	383770
115	1276	384018
116	1288	384206
117	1292	382087
118	1304	382297
119	1315	382386
120	1326	382480
121	1337	382479
122	1349	382745
123	1362	383167
124	1374	383363
125	1385	383544
126	1397	383649
127	1401	381745
128	1412	381922
129	1423	381894
130	1435	381995
131	1441	380748
132	1452	380826
133	1463	380915
134	1470	379733
135	1481	379878
136	1493	380022
137	1504	380125
138	1510	378930
139	1522	379098
140	1534	379438
141	1546	379599
142	1557	379663
143	1569	379798
144	1580	379828
145	1591	379936
146	1602	380015
147	1613	380051
148	1625	380120
149	1636	380178
150	1648	380345
151	1659	380388
152	1670	380549
153	1682	380756
154	1694	380901
155	1705	380985
156	1717	381053
157	1728	381105
158	1739	381266
159	1746	380277
160	1758	380611
161	1771	380966
162	1775	379508
163	1787	379638
164	1798	379791
165	1802	378289
166	1813	378307
167	1825	378399
168	1836	378601
169	1848	378681
170	1859	378712
171	1861	376872
172	1871	376855
173	1882	376860
174	1889	376001
175	1900	376067
176	1914	376753
177	1926	376791
178	1937	376861
179	1949	377029
180	1960	377133
181	1964	375840
182	1975	375884
183	1987	376066
184	1999	376190
185	2010	376249
186	2016	375428
187	2028	375569
188	2039	375645
189	2050	375656
190	2061	375706
191	2073	375828
192	2084	375921
193	2095	375943
194	2107	376087
195	2113	375296
196	2120	374645
197	2133	375046
198	2146	375356
199	2159	375735
200	2171	375937
201	2184	376363
202	2196	376595
203	2203	375850
204	2210	375145
205	2221	375191
206	2233	375340
207	2244	375437
208	2255	375493
209	2267	375596
210	2270	374435
211	2282	374524
212	2293	374560
213	2305	374705
214	2307	373362
215	2318	373428
216	2330	373582
217	2333	372263
218	2337	371190
219	2341	370127
220	2352	370259
221	2364	370385
222	2370	369753
223	2382	369835
224	2393	369920
225	2405	370059
226	2411	369389
227	2422	369459
228	2433	369522
229	2445	369657
230	2457	369910
231	2469	370015
232	2475	369411
233	2486	369498
234	2497	369503
235	2509	369591
236	2520	369671
237	2531	369779
238	2543	369897
239	2554	370010
240	2565	370084
241	2577	370133
242	2579	368988
243	2586	368371
244	2597	368435
245	2608	368496
246	2619	368586
247	2630	368648
248	2637	368047
249	2648	368113
250	2659	368195
251	2670	368226
252	2681	368302
253	2684	367206
254	2697	367590
