iter	Passed	Remaining
0	5	100772
1	11	98262
2	17	96402
3	22	94473
4	28	98122
5	34	97121
6	39	96508
7	46	98946
8	52	98097
9	57	97310
10	64	99441
11	70	98934
12	77	100455
13	83	101034
14	88	100172
15	94	100075
16	102	101716
17	107	101172
18	113	100903
19	118	100648
20	124	100403
21	129	100042
22	136	100188
23	141	99800
24	148	100561
25	153	100084
26	159	99734
27	165	99842
28	171	99853
29	176	99806
30	183	100163
31	189	100239
32	194	100009
33	200	99877
34	207	100237
35	212	100043
36	218	99729
37	223	99518
38	230	100025
39	235	99791
40	241	99613
41	246	99387
42	252	99182
43	257	99078
44	262	98856
45	268	98670
46	275	99172
47	281	99059
48	286	99042
49	292	99096
50	298	98908
51	303	98723
52	308	98502
53	314	98387
54	321	98710
55	328	99085
56	333	99048
57	339	99042
58	344	98771
59	350	98639
60	357	98958
61	362	98859
62	369	99091
63	376	99361
64	381	99279
65	387	99176
66	393	99124
67	398	99050
68	404	98936
69	409	98879
70	416	99015
71	421	98888
72	426	98726
73	432	98667
74	437	98566
75	443	98461
76	449	98496
77	456	98813
78	462	98756
79	469	99022
80	474	98979
81	480	98926
82	487	99173
83	494	99459
84	500	99401
85	505	99263
86	511	99194
87	516	99041
88	521	98859
89	526	98752
90	532	98773
91	538	98678
92	543	98640
93	549	98580
94	555	98547
95	560	98488
96	565	98379
97	574	98778
98	579	98713
99	585	98745
100	591	98665
101	596	98569
102	602	98606
103	607	98499
104	614	98609
105	619	98582
106	625	98455
107	630	98384
108	635	98274
109	641	98230
110	646	98139
111	651	98058
112	656	97931
113	661	97819
114	667	97766
115	673	97748
116	678	97666
117	683	97613
118	689	97536
119	694	97444
120	699	97347
121	706	97496
122	711	97393
123	716	97320
124	722	97291
125	727	97246
126	733	97196
127	738	97157
128	744	97118
129	749	97091
130	755	97130
131	763	97311
132	770	97447
133	775	97355
134	781	97380
135	787	97371
136	792	97312
137	798	97291
138	803	97255
139	810	97396
140	816	97347
141	821	97325
142	827	97291
143	832	97256
144	838	97223
145	843	97199
146	850	97336
147	856	97297
148	861	97250
149	867	97239
150	874	97372
151	880	97340
152	887	97510
153	892	97444
154	899	97496
155	905	97499
156	910	97468
157	915	97401
158	922	97443
159	927	97442
160	935	97640
161	942	97767
162	948	97704
163	953	97619
164	958	97583
165	965	97639
166	972	97760
167	979	97868
168	984	97856
169	990	97813
170	997	97938
171	1002	97859
172	1008	97824
173	1014	97918
174	1018	97696
175	1023	97620
176	1029	97621
177	1035	97616
178	1040	97580
179	1047	97676
180	1053	97657
181	1058	97623
182	1064	97605
183	1070	97619
184	1075	97558
185	1081	97506
186	1086	97495
187	1092	97454
188	1097	97408
189	1102	97336
190	1108	97302
191	1113	97264
192	1121	97405
193	1127	97446
194	1135	97598
195	1141	97662
196	1148	97731
197	1155	97861
198	1162	97940
199	1169	97987
200	1174	97976
201	1180	97951
202	1186	97980
203	1194	98158
204	1200	98148
205	1206	98150
206	1214	98265
207	1219	98215
208	1224	98164
209	1229	98096
210	1235	98046
211	1240	98026
212	1246	97983
213	1251	97956
214	1257	97951
215	1264	97996
216	1269	97994
217	1275	97956
218	1281	97969
219	1287	97965
220	1293	97969
221	1298	97936
222	1305	98030
223	1311	97969
224	1316	97905
225	1320	97798
226	1326	97791
227	1331	97761
228	1337	97756
229	1343	97704
230	1348	97670
231	1353	97610
232	1358	97565
233	1364	97527
234	1370	97519
235	1375	97470
236	1380	97436
237	1385	97377
238	1391	97338
239	1397	97349
240	1404	97465
241	1410	97438
242	1415	97390
243	1421	97364
244	1426	97316
245	1431	97290
