iter	AUC	CrossEntropy
0	0.5943557998	0.6928547349
1	0.6027576618	0.6925575399
2	0.6174428743	0.6922661263
3	0.621767707	0.6919660208
4	0.6200535012	0.6916714085
5	0.618988227	0.6913874017
6	0.6219439429	0.6911099713
7	0.623017204	0.690833715
8	0.6242669237	0.6905605453
9	0.6236165909	0.690292926
10	0.6253116127	0.690030817
11	0.6245161967	0.6897665371
12	0.6257474538	0.6895036317
13	0.6256808256	0.6892437864
14	0.6273201307	0.6889920321
15	0.6291075046	0.6887366851
16	0.6306092009	0.6884876197
17	0.6302607199	0.6882366439
18	0.6310565731	0.6879931631
19	0.6318701328	0.6877554785
20	0.6315741448	0.6875168385
21	0.6311551398	0.6872785476
22	0.6314636284	0.687042957
23	0.631771354	0.6868119023
24	0.632166898	0.6865813953
25	0.6333983019	0.6863580392
26	0.6342974259	0.6861342769
27	0.6349571494	0.6859123073
28	0.6354093849	0.6856913814
29	0.6361862753	0.685473572
30	0.6367703793	0.6852568034
31	0.6370766609	0.6850456809
32	0.6369514179	0.6848348231
33	0.6380168219	0.68463081
34	0.6383135833	0.6844194244
35	0.6386744916	0.6842124416
36	0.6392082173	0.6840073069
37	0.6393366066	0.6838023459
38	0.6402962046	0.68360159
39	0.6417682452	0.6834053978
40	0.6419830827	0.6832027774
41	0.6419457732	0.6830035664
42	0.6420428453	0.6828076946
43	0.6422235632	0.6826126115
44	0.6433245407	0.6824212716
45	0.643820546	0.6822285677
46	0.6441336033	0.6820365697
47	0.6443521983	0.6818466584
48	0.6444371151	0.6816573379
49	0.6453994555	0.6814742277
50	0.6462757015	0.6812931721
51	0.6470454649	0.6811091749
52	0.6476932572	0.6809282865
53	0.648586366	0.6807450913
54	0.6486379669	0.6805642246
55	0.6493999869	0.6803871225
56	0.6494250662	0.6802108505
57	0.64938437	0.6800346056
58	0.6499939661	0.6798606819
59	0.6505212849	0.679687738
60	0.6503316827	0.6795142556
61	0.6503658505	0.6793398841
62	0.6511263182	0.6791682682
63	0.6513554905	0.6789975341
64	0.6521050254	0.6788300886
65	0.6521315835	0.6786644614
66	0.6521708499	0.6784962814
67	0.6527927516	0.6783295906
68	0.6532397202	0.6781667568
69	0.6536075739	0.6780024872
70	0.6541126391	0.6778428564
71	0.6545295085	0.6776847578
72	0.6545147029	0.6775210099
73	0.6544669705	0.677363183
74	0.6544965875	0.6772056169
75	0.654425581	0.6770474399
76	0.6549124518	0.676893471
77	0.6549295169	0.6767356126
78	0.6554114314	0.6765820575
79	0.655476279	0.6764314439
80	0.6553467953	0.6762786144
81	0.6557560213	0.6761274199
82	0.6561230932	0.6759794455
83	0.6565432384	0.6758314931
84	0.656827027	0.675683383
85	0.6566295398	0.6755393969
86	0.6569559143	0.6753933037
87	0.6575052163	0.6752556709
88	0.6578742894	0.6751131012
89	0.6578191879	0.674971436
90	0.6578025024	0.674829657
91	0.6581189766	0.6746878869
92	0.6583258076	0.674550368
93	0.6585609927	0.6744107995
94	0.6588612012	0.6742711657
95	0.6591997112	0.6741354468
96	0.659304953	0.673993058
97	0.6594060113	0.6738599287
98	0.6592188972	0.6737250344
99	0.6595375306	0.6735900629
100	0.6595781551	0.6734547918
101	0.6595627199	0.6733209977
102	0.6597373696	0.673190005
103	0.6597057563	0.6730573954
104	0.6600168371	0.6729247799
105	0.6602861929	0.6727932521
106	0.660482522	0.6726632349
107	0.6606841758	0.6725343781
108	0.661081738	0.6724075876
109	0.6611604143	0.6722827189
110	0.6613552271	0.6721583958
111	0.6619306279	0.6720346023
112	0.6619428557	0.6719066422
113	0.6621939358	0.6717811706
114	0.6624835065	0.6716575669
115	0.6625603852	0.6715365168
116	0.6627664103	0.6714149737
117	0.6630190941	0.6712931125
118	0.6636054125	0.6711723783
119	0.6636851045	0.6710471539
120	0.6637004568	0.6709235351
121	0.6638693054	0.6708048657
122	0.6643700038	0.6706870908
123	0.6647311413	0.6705692599
124	0.6652216459	0.6704530247
125	0.6654427735	0.6703356443
126	0.6656634651	0.6702190657
127	0.6655566894	0.670102179
128	0.6660404549	0.6699873395
129	0.666365166	0.6698724237
130	0.6665837392	0.6697569289
131	0.6668448381	0.6696415684
132	0.6671789842	0.6695294902
133	0.6673105027	0.6694160287
134	0.6674702704	0.6693021951
135	0.667590057	0.669190045
136	0.6679146062	0.6690771642
137	0.6680029421	0.6689661388
138	0.6679923623	0.6688551587
139	0.6681306843	0.6687436576
140	0.6680618374	0.6686334966
141	0.668375369	0.6685239331
142	0.6683567544	0.6684132444
143	0.6685638494	0.6683046195
144	0.6688256231	0.6681985826
145	0.6689490081	0.6680898422
146	0.669184668	0.6679845827
147	0.6692062325	0.6678759377
148	0.6693261705	0.6677709085
149	0.6694207745	0.667665406
150	0.6697961957	0.6675593073
151	0.6700389988	0.6674542169
152	0.6702601279	0.6673499662
153	0.6702991766	0.6672464284
154	0.6706098586	0.6671407209
155	0.6709545811	0.6670399889
156	0.6713002868	0.6669379357
157	0.6715485523	0.6668360194
158	0.6715363931	0.6667340104
159	0.6716035073	0.6666328515
160	0.671811066	0.6665305871
161	0.6719907167	0.6664299269
162	0.6721088819	0.6663305622
163	0.6722434085	0.6662308906
164	0.6724953477	0.666131149
165	0.6725955764	0.6660304306
166	0.6726738007	0.6659315222
167	0.672875374	0.6658321916
168	0.6731538708	0.6657357915
169	0.6732364073	0.6656390849
170	0.6733421746	0.6655397167
171	0.6736652043	0.6654451447
172	0.6738064285	0.665350116
173	0.6737896005	0.6652534429
174	0.6739794919	0.6651608048
175	0.6741605302	0.6650669156
176	0.6744687024	0.6649708977
177	0.6747195743	0.664875776
178	0.6750208002	0.6647812304
179	0.6752668415	0.6646886853
180	0.6755773943	0.6645955407
181	0.675774451	0.6645010348
182	0.6759332666	0.6644096199
183	0.6759069383	0.6643149424
184	0.6760714797	0.6642224471
185	0.676220201	0.6641327532
186	0.6763994856	0.6640400638
187	0.6763741732	0.6639470562
188	0.6765779576	0.6638579499
189	0.6765509789	0.6637659462
190	0.6768669286	0.6636749182
191	0.6770208648	0.6635841569
192	0.6770783636	0.6634956197
193	0.6772411875	0.663407872
194	0.677329073	0.6633183277
195	0.6774925861	0.6632295262
196	0.6777156693	0.6631394118
197	0.677920165	0.6630518342
198	0.6781296349	0.6629644708
199	0.6782012671	0.6628751434
200	0.6783659484	0.6627888907
201	0.6784234546	0.6627017958
202	0.6787803602	0.6626159079
203	0.6789439954	0.6625299315
204	0.6791182919	0.6624451529
205	0.6791682983	0.6623590534
206	0.6793157468	0.6622747957
207	0.6795732488	0.6621891936
208	0.6797328547	0.6621041696
209	0.6798245017	0.6620194046
210	0.67975157	0.6619333872
211	0.6799926152	0.6618511186
212	0.6801644533	0.6617662219
213	0.6803399547	0.6616825361
214	0.6805783803	0.661600747
215	0.6806090059	0.66152004
216	0.6808417801	0.6614355482
217	0.6809563654	0.661353292
218	0.6811874512	0.6612728618
219	0.6813294666	0.6611890176
220	0.681578769	0.6611080302
221	0.681787875	0.6610293886
222	0.6818643119	0.6609497945
223	0.6820040461	0.6608677855
224	0.6820387515	0.6607863591
225	0.6820001062	0.6607042025
226	0.6821517242	0.6606224038
227	0.6821758704	0.6605416709
228	0.6822817113	0.6604630257
229	0.6825136836	0.6603834766
230	0.6826755819	0.6603050941
231	0.6829594564	0.6602269422
232	0.683156658	0.6601474313
233	0.6831524401	0.6600674604
234	0.683372702	0.6599905203
235	0.6835893742	0.6599119643
236	0.6836675808	0.6598321762
237	0.6837468297	0.6597543667
238	0.6839002332	0.6596764731
239	0.684000779	0.6596003049
240	0.6840811364	0.6595210663
241	0.684265216	0.6594444019
242	0.6844208756	0.6593681196
243	0.6846846285	0.6592932233
244	0.6847812801	0.6592164924
245	0.6849320727	0.6591401415
246	0.6851162409	0.6590655626
247	0.6852196546	0.6589910547
248	0.6853136908	0.6589141461
249	0.6854695514	0.6588396159
250	0.6855427832	0.6587651853
251	0.6857091281	0.6586900992
252	0.6858303822	0.6586143475
253	0.6859509256	0.6585395949
254	0.6858778329	0.6584650556
255	0.6860838035	0.658391513
256	0.6861659197	0.65831797
257	0.6862605391	0.6582447275
258	0.6863569848	0.6581717069
259	0.6865851063	0.6580993534
260	0.68670855	0.6580293819
261	0.6868235289	0.6579589799
262	0.6868123735	0.657884584
263	0.6869669012	0.6578137582
264	0.687094813	0.6577403354
265	0.6870749054	0.6576663962
266	0.6871838787	0.6575961257
267	0.687285559	0.6575239484
268	0.6873879835	0.6574522517
269	0.6874816834	0.6573804022
270	0.6876334745	0.6573083384
271	0.6877943146	0.6572375985
272	0.6878425198	0.6571661734
273	0.6880303207	0.6570966719
274	0.6879634158	0.6570259713
275	0.6880598593	0.6569546631
276	0.6881880785	0.6568855471
277	0.688354955	0.6568170669
278	0.6884643273	0.6567474807
279	0.6885842457	0.6566794502
280	0.6886464557	0.6566112152
281	0.6886784471	0.6565426862
282	0.6888309527	0.6564735421
283	0.6889267635	0.6564058999
284	0.6890177221	0.6563378299
285	0.6892184928	0.6562722593
286	0.6893422744	0.6562052653
287	0.6893984049	0.6561364149
288	0.6895354293	0.6560708572
289	0.6896930962	0.6560038662
290	0.689803595	0.6559357715
291	0.6899133506	0.6558692111
292	0.6900029542	0.6558024377
293	0.6901407362	0.6557348327
294	0.6902877747	0.6556710411
295	0.6903761611	0.6556049441
296	0.690396332	0.655537846
297	0.6905097547	0.6554708434
298	0.6906413112	0.6554090314
299	0.6907560835	0.655343622
300	0.6908709516	0.6552766954
301	0.6910107309	0.6552125905
302	0.6910420952	0.6551487706
303	0.691178929	0.65508417
304	0.6912629119	0.6550189603
305	0.6912614009	0.6549540201
306	0.6914041224	0.6548916994
307	0.6914582819	0.654826945
308	0.6915886493	0.6547627092
309	0.6915860238	0.6546981033
310	0.6917392351	0.6546345598
311	0.691836878	0.6545703992
312	0.6919368672	0.6545067227
313	0.6920980826	0.654446272
314	0.6922418245	0.6543849643
315	0.6923325606	0.6543242893
316	0.6924621207	0.6542613586
317	0.6925982594	0.6541995878
318	0.6926235098	0.6541369184
319	0.6927430623	0.6540755712
320	0.692811207	0.6540149953
321	0.6928012096	0.6539527395
322	0.6928746599	0.6538907733
323	0.6929097485	0.6538288137
324	0.6930187843	0.6537670953
325	0.6930524722	0.6537061276
326	0.6931414912	0.6536489032
327	0.6931966975	0.6535879307
328	0.693275122	0.6535278491
329	0.6933184269	0.6534673849
330	0.6934688117	0.6534088071
331	0.6936025247	0.6533500285
332	0.6936817404	0.653289495
333	0.6937994746	0.6532303297
334	0.6939200148	0.6531716648
335	0.6939968973	0.6531121781
336	0.6940751707	0.6530526112
337	0.6941257547	0.6529935026
338	0.6941670463	0.652934793
339	0.6942480623	0.6528763454
340	0.6943149109	0.6528166946
341	0.6944313142	0.6527586998
342	0.6945296431	0.6526998254
343	0.694646539	0.6526426097
344	0.6947110604	0.6525842585
345	0.6947871217	0.6525251475
346	0.6948358387	0.652466774
347	0.694856409	0.6524093696
348	0.6949143806	0.652352681
349	0.694923821	0.6522950225
350	0.6949649197	0.6522375418
351	0.6950325038	0.6521801536
352	0.6950329577	0.6521226881
353	0.6951428496	0.6520662535
354	0.6952053352	0.652009049
355	0.6952538139	0.6519532518
356	0.6953472085	0.6518966468
357	0.6954062021	0.6518407944
358	0.6955672308	0.6517855501
359	0.6956575643	0.6517296052
360	0.6958035532	0.6516770649
361	0.6957482533	0.6516219927
362	0.6958418985	0.6515664967
363	0.6958769555	0.6515114265
364	0.6958958981	0.6514580998
365	0.6959742245	0.6514028833
366	0.6960459803	0.6513482538
367	0.6961508419	0.6512949834
368	0.6962692943	0.6512407587
369	0.6963240664	0.6511862263
370	0.6964053448	0.6511335547
371	0.6965074843	0.6510789916
372	0.696591834	0.6510249369
373	0.6967072807	0.6509710148
374	0.6967601413	0.6509163784
375	0.6967752037	0.650864766
376	0.6969174485	0.6508124877
377	0.6969768679	0.6507586209
378	0.6970868167	0.6507057319
379	0.697151701	0.6506534671
380	0.6972517143	0.6506031109
381	0.6973271809	0.6505513167
382	0.6973772162	0.6504988546
383	0.6975085957	0.6504465936
384	0.6975789843	0.6503968116
385	0.6976626701	0.6503436455
386	0.697719775	0.6502904533
387	0.6977741418	0.6502395847
388	0.6978624512	0.6501884341
389	0.6979255474	0.6501373543
390	0.6980766839	0.6500860134
391	0.6980695242	0.6500331657
392	0.698188403	0.649980962
393	0.6982688497	0.6499282074
394	0.6983476061	0.6498783153
395	0.6984029499	0.649825985
396	0.6984879294	0.6497747356
397	0.6985709968	0.6497236205
398	0.6986201759	0.6496733533
399	0.6986381337	0.6496224207
400	0.6986497148	0.6495721608
401	0.698727974	0.6495211778
402	0.6987698759	0.6494695143
403	0.6988533841	0.6494206182
404	0.6989353254	0.6493713083
405	0.6989509535	0.6493204802
406	0.698991118	0.6492708503
407	0.6990811609	0.6492218469
408	0.6991626591	0.6491744467
409	0.6992622063	0.6491257154
410	0.6993521945	0.6490765529
411	0.6994207935	0.6490276682
412	0.699522145	0.6489792646
413	0.6996014442	0.648931805
414	0.6996727635	0.6488834847
415	0.6997595309	0.6488361861
416	0.6999055938	0.6487877613
417	0.6999345592	0.6487404376
418	0.700044855	0.6486923976
419	0.7001444595	0.6486438023
420	0.700155096	0.6485954273
421	0.7002062556	0.6485474877
422	0.7002356682	0.6484990564
423	0.7003410098	0.6484519478
424	0.7004161429	0.6484056757
425	0.700483291	0.648360043
426	0.7005200865	0.6483134296
427	0.7005639837	0.6482643875
428	0.7006260715	0.6482159537
429	0.700685508	0.6481674407
430	0.7007507678	0.6481199015
431	0.700796301	0.6480719208
432	0.700810235	0.6480232348
433	0.7008474207	0.6479751098
434	0.7009131271	0.6479271004
435	0.7008683013	0.6478792915
436	0.7009195113	0.6478328154
437	0.700983168	0.647785594
438	0.701009573	0.6477387706
439	0.7010943718	0.6476949223
440	0.7011487089	0.6476487954
441	0.701235143	0.6476003431
442	0.7013227963	0.647552858
443	0.7013949667	0.6475064839
444	0.7014361927	0.6474610578
445	0.7015142097	0.6474146611
446	0.7016217914	0.6473700711
447	0.7017041695	0.6473246219
448	0.7017411117	0.6472775319
449	0.7018216378	0.6472323235
450	0.7019425822	0.6471863558
451	0.701963948	0.6471403841
452	0.7019924201	0.6470951768
453	0.7020564154	0.6470497559
454	0.7021378505	0.6470047094
455	0.7021780066	0.6469571915
456	0.7022105777	0.6469109712
457	0.7022179448	0.646866182
458	0.7022931493	0.64682195
459	0.7023921006	0.6467776506
460	0.7024194996	0.6467332041
461	0.702489438	0.6466892337
462	0.702540129	0.6466441067
463	0.7025944355	0.646599393
464	0.7026535539	0.6465549325
465	0.7027082196	0.6465106351
466	0.7027703175	0.6464672155
467	0.7028794318	0.6464240234
468	0.7029338425	0.6463797434
469	0.7030095422	0.6463369169
470	0.7031006382	0.6462938209
471	0.7031518282	0.6462507772
472	0.7032387964	0.6462082472
473	0.7032220039	0.6461647749
474	0.7032768843	0.6461203895
475	0.7033573817	0.6460773526
476	0.7034486506	0.6460347661
477	0.7035357754	0.6459914253
478	0.7035886724	0.6459515846
479	0.7036272035	0.645908038
480	0.7036382773	0.6458650612
481	0.703675885	0.6458213689
482	0.7037866804	0.6457815648
483	0.7038056054	0.6457400561
484	0.7038666493	0.6456999819
485	0.7039327719	0.6456573727
486	0.7040089555	0.645615963
487	0.7040614436	0.6455736297
488	0.7040851634	0.6455297683
489	0.7040848266	0.6454874407
490	0.704170902	0.6454462995
491	0.7041797048	0.6454037865
492	0.7042168787	0.6453625856
493	0.7042843589	0.645322338
494	0.7043074574	0.645280177
495	0.7043088127	0.6452391472
496	0.7043353181	0.6451979908
497	0.704386589	0.6451571578
498	0.704419187	0.6451164887
499	0.7044068199	0.6450756674
500	0.7044289332	0.645034331
501	0.704460746	0.6449935651
502	0.7045713566	0.6449516917
503	0.7046185576	0.6449105091
504	0.7046838253	0.644869236
505	0.7046917558	0.6448289481
506	0.7047572848	0.6447890371
507	0.7048420409	0.6447493981
508	0.7048936605	0.6447085757
509	0.7049730105	0.644669528
510	0.7050448433	0.6446278829
511	0.7051113146	0.6445903549
512	0.7051162639	0.6445507285
513	0.7051557551	0.6445102721
514	0.7052238846	0.6444705864
515	0.7053002507	0.6444327706
516	0.7053030503	0.6443915684
517	0.705360205	0.6443507053
