iter	Passed	Remaining
0	132	330439
1	258	322797
2	375	312259
3	508	317479
4	644	321729
5	782	325408
6	907	323113
7	1085	338266
8	1274	352821
9	1441	359048
10	1569	355121
11	1699	352429
12	1830	350190
13	1955	347267
14	2131	353185
15	2273	352949
16	2406	351491
17	2523	347991
18	2636	344334
19	2749	340971
20	2860	337635
21	2978	335461
22	3125	336573
23	3249	335239
24	3364	333127
25	3474	330628
26	3589	328791
27	3706	327224
28	3824	325850
29	3950	325290
30	4082	325143
31	4241	327162
32	4362	326122
33	4478	324851
34	4602	324140
35	4733	323977
36	4869	324141
37	5013	324849
38	5178	326786
39	5330	327831
40	5488	329181
41	5673	332050
42	5828	333055
43	5968	333170
44	6100	332822
45	6240	332932
46	6373	332642
47	6497	331928
48	6621	331218
49	6745	330531
50	6867	329789
51	6993	329224
52	7122	328858
53	7256	328713
54	7410	329428
55	7549	329484
56	7674	328910
57	7787	327861
58	7894	326620
59	7996	325190
60	8106	324109
61	8218	323177
62	8328	322151
63	8447	321534
64	8563	320784
65	8676	319968
66	8785	319027
67	8892	318024
68	8996	316962
69	9127	316854
70	9245	316305
71	9395	316843
72	9502	315923
73	9620	315384
74	9728	314551
75	9831	313584
76	9937	312700
77	10045	311926
78	10159	311355
79	10269	310664
80	10377	309919
81	10590	312292
82	10699	311562
83	10820	311226
84	10928	310502
85	11045	310057
86	11164	309660
87	11274	309016
88	11389	308551
89	11505	308091
90	11658	308620
91	11775	308198
92	11894	307848
93	12025	307807
94	12154	307696
95	12269	307240
96	12400	307203
97	12525	306994
98	12683	307606
99	12800	307203
100	12919	306877
101	13049	306798
102	13208	307382
103	13372	308088
104	13521	308429
105	13669	308731
106	13805	308754
107	13946	308878
108	14057	308357
109	14170	307880
110	14275	307253
111	14385	306718
112	14494	306178
113	14605	305685
114	14709	305070
115	14822	304625
116	14931	304113
117	15045	303719
118	15160	303330
119	15267	302803
120	15370	302202
121	15481	301761
122	15601	301498
123	15716	301148
124	15867	301480
125	15975	300997
126	16095	300744
127	16200	300218
128	16304	299665
129	16410	299173
130	16517	298702
131	16626	298265
132	16739	297910
133	16882	298085
134	17000	297829
135	17118	297556
136	17229	297178
137	17329	296605
138	17436	296176
139	17546	295789
140	17663	295513
141	17769	295074
142	17885	294801
143	18011	294693
144	18123	294351
145	18227	293884
146	18338	293545
147	18445	293138
148	18556	292791
149	18662	292381
150	18761	291856
151	18872	291537
152	19026	291869
153	19168	292004
154	19286	291781
155	19403	291550
156	19514	291230
157	19631	290989
158	19751	290811
159	19864	290523
160	19979	290260
161	20122	290404
162	20258	290450
163	20376	290247
164	20506	290204
165	20637	290164
166	20757	289976
167	20900	290125
168	21083	290803
169	21230	290979
170	21356	290875
171	21469	290586
172	21594	290471
173	21709	290213
174	21813	289811
175	21923	289489
176	22034	289189
177	22184	289401
178	22293	289072
179	22400	288721
180	22519	288521
181	22628	288202
182	22740	287919
183	22849	287611
184	22962	287347
185	23077	287108
186	23216	287169
187	23324	286835
188	23425	286433
189	23549	286307
190	23660	286031
191	23766	285696
192	23879	285440
193	24000	285283
194	24114	285050
195	24252	285096
196	24364	284834
197	24472	284526
198	24571	284114
199	24681	283835
200	24788	283524
201	24916	283454
202	25040	283343
203	25156	283128
204	25270	282904
205	25391	282756
206	25503	282504
207	25614	282247
208	25725	281996
209	25835	281725
210	25954	281561
211	26069	281357
212	26193	281241
213	26307	281019
214	26423	280828
215	26532	280553
216	26642	280296
217	26760	280122
218	26879	279968
219	26995	279771
220	27113	279596
221	27231	279430
222	27354	279314
223	27476	279179
224	27594	279012
225	27715	278868
226	27847	278838
227	27973	278751
228	28090	278576
229	28207	278393
230	28333	278302
231	28502	278631
232	28608	278348
233	28720	278126
234	28840	277973
235	28967	277887
236	29091	277782
237	29208	277601
238	29358	277738
239	29621	278932
240	29737	278745
241	29850	278522
242	29965	278320
243	30081	278126
244	30190	277878
245	30306	277682
246	30415	277429
247	30524	277178
248	30687	277415
249	30825	277433
250	30959	277400
251	31095	277394
252	31206	277154
253	31319	276945
254	31427	276686
255	31552	276578
256	31665	276360
257	31782	276191
258	31903	276044
259	32016	275832
260	32119	275535
261	32234	275346
262	32348	275148
263	32464	274965
264	32566	274668
265	32683	274495
266	32808	274388
267	32934	274294
268	33052	274130
269	33164	273913
270	33278	273720
271	33391	273512
272	33511	273370
273	33630	273214
274	33782	273327
275	33904	273201
276	34016	272990
277	34124	272748
278	34236	272543
279	34379	272576
280	34512	272539
281	34637	272430
282	34765	272349
283	34889	272233
284	35010	272099
285	35141	272041
286	35284	272070
287	35438	272185
288	35571	272138
289	35704	272092
290	35867	272271
291	36013	272322
292	36145	272260
293	36287	272278
294	36412	272165
295	36530	272004
296	36668	271987
297	36820	272076
298	36999	272362
299	37117	272196
300	37251	272146
301	37364	271942
302	37487	271812
303	37610	271688
304	37731	271545
305	37861	271464
306	38017	271568
307	38149	271507
308	38280	271435
309	38405	271315
310	38522	271142
311	38649	271040
312	38777	270943
313	38906	270857
314	39037	270782
315	39188	270845
316	39309	270703
317	39418	270477
318	39529	270263
319	39652	270132
320	39774	269998
321	39899	269880
322	40000	269601
323	40155	269689
324	40268	269492
325	40380	269286
326	40504	269160
327	40625	269020
328	40755	268938
329	40882	268833
330	41024	268829
331	41152	268733
332	41305	268797
333	41490	269066
334	41617	268958
335	41752	268907
336	41876	268781
337	42001	268658
338	42138	268617
339	42296	268708
340	42449	268765
341	42621	268940
342	42792	269106
343	42938	269113
344	43088	269145
345	43232	269141
346	43414	269368
347	43570	269433
348	43762	269719
349	43925	269830
350	44089	269939
351	44247	270007
352	44429	270227
353	44577	270235
354	44723	270229
355	44855	270142
356	45000	270126
357	45129	270021
358	45241	269808
359	45357	269622
360	45516	269692
361	45622	269448
362	45733	269234
363	45847	269039
364	45964	268860
365	46095	268765
366	46218	268619
367	46340	268470
368	46459	268306
369	46592	268222
370	46702	268004
371	46819	267825
372	46921	267565
373	47032	267355
374	47170	267301
375	47303	267216
376	47418	267030
377	47638	267432
378	47753	267241
379	47866	267044
380	47986	266883
381	48111	266756
382	48241	266652
383	48361	266494
384	48484	266347
385	48620	266280
386	48781	266345
387	48910	266237
388	49039	266122
389	49163	265986
390	49284	265832
391	49416	265741
392	49539	265594
393	49673	265512
394	49841	265612
395	49954	265412
396	50073	265251
397	50218	265222
398	50347	265112
399	50478	265012
400	50611	264922
401	50740	264811
402	50908	264899
403	51033	264767
404	51151	264597
405	51274	264454
406	51397	264314
407	51524	264187
408	51660	264113
409	51788	263996
410	51973	264166
411	52125	264171
412	52269	264129
413	52403	264041
414	52564	264088
415	52704	264029
416	52849	263992
417	53027	264120
418	53160	264024
419	53284	263884
420	53438	263890
421	53557	263727
422	53678	263568
423	53782	263330
424	53890	263113
425	54015	262976
426	54155	262916
427	54272	262738
428	54400	262620
429	54539	262549
430	54684	262509
431	54816	262408
432	54944	262285
433	55070	262157
434	55204	262061
435	55314	261856
436	55445	261748
437	55577	261644
438	55691	261459
439	55807	261282
440	55920	261088
441	56043	260946
442	56218	261043
443	56362	260994
444	56486	260855
445	56630	260803
446	56782	260793
447	56912	260677
448	57047	260589
449	57198	260571
450	57378	260682
451	57503	260546
452	57623	260385
453	57759	260299
454	57895	260210
455	58048	260198
456	58191	260140
457	58332	260076
458	58473	260008
459	58622	259976
460	58747	259840
461	58870	259694
462	58988	259522
463	59106	259357
464	59225	259189
465	59357	259085
466	59510	259070
467	59623	258878
468	59735	258685
469	59853	258517
470	59978	258379
471	60126	258340
472	60275	258307
473	60490	258552
474	60647	258551
475	60815	258594
476	60977	258610
477	61124	258562
478	61271	258518
479	61432	258529
480	61627	258683
481	61766	258598
482	61897	258483
483	62025	258354
484	62146	258198
485	62288	258123
486	62419	258010
487	62557	257921
488	62735	258000
489	62899	258016
490	63078	258094
491	63212	257991
492	63331	257822
493	63453	257667
494	63556	257437
495	63710	257411
496	63836	257272
497	63946	257071
498	64074	256939
499	64213	256855
500	64343	256733
501	64487	256667
502	64614	256531
503	64776	256537
504	64905	256408
505	65022	256235
506	65136	256048
507	65243	255836
508	65369	255697
509	65502	255590
510	65639	255493
511	65842	255654
512	65973	255533
513	66103	255413
514	66228	255267
515	66354	255129
516	66483	255003
517	66629	254943
518	66779	254896
519	66920	254813
520	67052	254697
521	67174	254540
522	67293	254375
523	67422	254248
524	67541	254085
525	67669	253953
526	67789	253794
527	67924	253686
528	68109	253770
529	68237	253637
530	68370	253523
531	68506	253424
532	68640	253312
533	68759	253147
534	68878	252985
535	68995	252810
536	69184	252904
537	69316	252784
538	69437	252627
539	69562	252487
540	69692	252361
541	69819	252226
542	69947	252094
543	70080	251982
544	70243	251975
545	70360	251804
546	70487	251666
547	70611	251519
548	70725	251341
549	70850	251198
550	70999	251138
551	71122	250988
552	71314	251082
553	71486	251105
554	71634	251044
555	71777	250962
556	71923	250891
557	72077	250849
558	72214	250746
559	72391	250783
560	72515	250638
561	72656	250549
562	72784	250416
563	72924	250322
564	73072	250256
565	73219	250189
566	73359	250094
567	73532	250115
568	73666	249999
569	73801	249890
570	73949	249823
571	74090	249731
572	74260	249738
573	74395	249625
574	74653	249927
575	74780	249786
576	74916	249676
577	75065	249612
578	75207	249521
579	75391	249570
580	75526	249457
581	75705	249489
