iter	AUC	CrossEntropy
0	0.6313566001	0.6915158411
1	0.6443589575	0.689974236
2	0.6481253131	0.6884790273
3	0.6496853541	0.6870934547
4	0.6516731202	0.6857472938
5	0.6524272154	0.6844468766
6	0.652963752	0.6832217142
7	0.6557791716	0.6820459607
8	0.6567025074	0.6809304718
9	0.6578604773	0.6798251084
10	0.6580507541	0.678783261
11	0.6587671319	0.6777684424
12	0.6591870644	0.6768036195
13	0.6600650068	0.675897986
14	0.6611375278	0.6749932195
15	0.6615859797	0.6741205147
16	0.6631200778	0.6732877608
17	0.664601547	0.6724817871
18	0.6654674671	0.6717140865
19	0.6671578059	0.6709559739
20	0.6683883276	0.6702253767
21	0.6690409998	0.6695055158
22	0.6693466953	0.6688004753
23	0.6700855506	0.6681205231
24	0.6710597274	0.6674598158
25	0.6716557287	0.6668268599
26	0.6726468001	0.6661998513
27	0.6735386352	0.665627886
28	0.6742602804	0.6650284513
29	0.6755174543	0.6644622139
30	0.6762291465	0.6638759881
31	0.6772020282	0.6633208346
32	0.6784187447	0.6627659293
33	0.6795310772	0.6622393396
34	0.6806632968	0.6617226789
35	0.6810947124	0.6612052804
36	0.6821307126	0.6607012612
37	0.6829426923	0.6602152891
38	0.683694092	0.6597282196
39	0.6842846448	0.6592526404
40	0.684890624	0.6587936328
41	0.6852039582	0.6583397718
42	0.6857398143	0.6578949838
43	0.6865905244	0.6574548569
44	0.6871727291	0.6570149136
45	0.688050909	0.6565952823
46	0.6885083717	0.6561713165
47	0.6891061156	0.6557579185
48	0.6895250582	0.6553541227
49	0.6905499576	0.6549599816
50	0.6909580425	0.6545629432
51	0.691158066	0.6541770309
52	0.6915816945	0.6537927708
53	0.692047133	0.6534176354
54	0.6928566751	0.6530494177
55	0.693291381	0.6526901427
56	0.6938817619	0.6523452996
57	0.6939940039	0.6519858122
58	0.6943681464	0.6516371046
59	0.6949398788	0.6512903835
60	0.695485897	0.6509678896
61	0.6959642706	0.6506306436
62	0.6965282694	0.6503090908
63	0.6971106384	0.6499792958
64	0.6974555667	0.6496717896
65	0.6978197731	0.6493533847
66	0.6982940272	0.6490484794
67	0.6985188527	0.6487566595
68	0.6991397887	0.6484524621
69	0.6995404911	0.6481509941
70	0.699774483	0.6478664192
71	0.7002204005	0.6475777086
72	0.7004004136	0.6472949173
73	0.7009565539	0.6470098394
74	0.7011178429	0.646728287
75	0.7015612498	0.6464563661
76	0.7017974275	0.6461863487
77	0.7019763365	0.6459122448
78	0.7020478309	0.6456524305
79	0.7023138295	0.645404865
80	0.7025198753	0.6451425297
81	0.702895033	0.6448923741
82	0.7032395196	0.6446489949
83	0.7035078079	0.6443935693
84	0.7040797562	0.6441506769
85	0.7045535617	0.643906822
86	0.7048337272	0.6436617228
87	0.705221681	0.6434265828
88	0.7054982967	0.6431926303
89	0.7058653704	0.6429605561
90	0.7060595785	0.6427256394
91	0.7065157495	0.6424998744
92	0.7069107839	0.6422803135
93	0.7072135695	0.6420585994
94	0.7075072699	0.6418405453
95	0.7078606825	0.6416269493
96	0.7081828578	0.6414136613
97	0.7084777918	0.6411952212
98	0.708624043	0.6409850205
99	0.7088130344	0.6407745853
100	0.7090272634	0.6405729765
101	0.7092073241	0.6403709604
102	0.7094380095	0.6401719531
103	0.7097995974	0.6399759524
104	0.7099567099	0.6397690495
105	0.7101906357	0.6395767556
106	0.7104295815	0.639376879
107	0.7105941916	0.6391902569
108	0.7108440909	0.6390019472
109	0.7110538728	0.6388112885
110	0.7113659001	0.6386354304
111	0.7116867776	0.6384479477
112	0.711931576	0.6382662131
113	0.7121760889	0.6380769734
114	0.7124316031	0.6378928522
115	0.712680097	0.637718728
116	0.7128243893	0.6375396381
117	0.7131989388	0.6373717096
118	0.7135444097	0.6372073953
119	0.7136380806	0.6370334317
120	0.7138242403	0.636854899
121	0.7141295788	0.6366900014
122	0.7144519399	0.6365240295
123	0.7146498309	0.6363569517
124	0.7147706265	0.6361964717
125	0.7149164056	0.6360378117
126	0.7151171964	0.6358750027
127	0.7153265285	0.6357190563
128	0.7155312686	0.6355647509
129	0.7156789442	0.635408112
130	0.7157402325	0.6352507781
131	0.7159646909	0.6350995285
132	0.7162133123	0.6349541142
133	0.7163832512	0.6347982328
134	0.7165708443	0.6346515069
135	0.7166075977	0.6345021949
136	0.716695798	0.6343677785
137	0.7169018629	0.6342241644
138	0.716967637	0.6340786732
139	0.7171965115	0.6339374344
140	0.7174097597	0.6337973634
141	0.7176946245	0.6336640437
