iter	AUC	CrossEntropy
0	0.6307483061	0.6915291347
1	0.6409534475	0.6899798837
2	0.6458273272	0.6885134538
3	0.6520374618	0.6871228545
4	0.6538854292	0.6857553986
5	0.654240141	0.6844470715
6	0.6555145516	0.6832116199
7	0.6557575912	0.6820284774
8	0.657632871	0.6809076667
9	0.6585004769	0.6798127444
10	0.6593041958	0.6787642666
11	0.6595997868	0.6777680813
12	0.6604183644	0.6768063619
13	0.6609111683	0.6758643135
14	0.6620235163	0.6749826456
15	0.662556514	0.6741202648
16	0.6635080673	0.6732909778
17	0.6637082195	0.6724904956
18	0.6651632545	0.6717245191
19	0.6662391975	0.6709621945
20	0.6668674509	0.6702293865
21	0.6683228503	0.6695207379
22	0.6691262653	0.6688275875
23	0.6699076936	0.668149809
24	0.6708556417	0.6674965709
25	0.671871992	0.6668487736
26	0.6725223904	0.6662086818
27	0.6731479525	0.6656046669
28	0.6740660529	0.6650280214
29	0.6748919562	0.664450572
30	0.6752642276	0.6638900499
31	0.6764494448	0.6633449951
32	0.6777475347	0.6627875143
33	0.6786679335	0.6622550501
34	0.6795900848	0.661748967
35	0.6803144789	0.661243789
36	0.6812903798	0.6607336175
37	0.6821077002	0.6602400646
38	0.6829494032	0.6597646771
39	0.6836530322	0.6592857376
40	0.6844505842	0.6588323765
41	0.6853714922	0.6583847658
42	0.6862028807	0.6579355709
43	0.6873158541	0.6575147042
44	0.6878518848	0.6570800703
45	0.6884418924	0.6566443293
46	0.6885820455	0.6562355223
47	0.6889500851	0.6558282721
48	0.6894722542	0.6554239224
49	0.6899749033	0.6550289952
50	0.6906392432	0.654643786
51	0.6910836684	0.6542514244
52	0.6916560558	0.6538704651
53	0.6922201484	0.6534987668
54	0.6926030858	0.653127573
55	0.693152732	0.6527587822
56	0.6938903191	0.6524011362
57	0.6942322574	0.6520510649
58	0.6949420331	0.6517126834
59	0.6954674931	0.6513674635
60	0.6956252148	0.6510244684
61	0.6962133819	0.6506980769
62	0.6966398838	0.6503735604
63	0.6970952472	0.6500488656
64	0.6977265851	0.6497461178
65	0.6978729253	0.6494182759
66	0.698288903	0.6491094069
67	0.6985508226	0.6488011142
68	0.6989558468	0.6484960725
69	0.6994443532	0.6481967511
70	0.6998828916	0.6479007052
71	0.7003139926	0.6476087675
72	0.7006060147	0.6473283264
73	0.7009289549	0.6470408501
74	0.7013903254	0.6467647676
75	0.7018431748	0.6464887024
76	0.7020945849	0.6462156601
77	0.7024998622	0.6459454758
78	0.7030027473	0.6456933233
79	0.7033174941	0.6454370545
80	0.7034707823	0.6451733454
81	0.7038639211	0.6449221658
82	0.7042298452	0.6446686562
83	0.7044588269	0.6444200697
84	0.7046987591	0.6441767699
85	0.7050127149	0.6439283937
86	0.7052725567	0.6436885057
87	0.70555931	0.6434532967
88	0.7057925873	0.6432171128
89	0.706161927	0.6429881451
90	0.7062577586	0.6427562776
91	0.706700241	0.6425330295
92	0.7069348906	0.6423082732
93	0.7071893911	0.6420858153
94	0.7075830345	0.6418735925
