iter	Passed	Remaining
0	126	315081
1	244	305504
2	366	304687
3	486	303398
4	586	292740
5	707	294287
6	828	295240
7	953	296970
8	1064	294697
9	1183	294802
10	1302	294659
11	1400	290287
12	1498	286696
13	1597	283747
14	1696	281040
15	1959	304249
16	2079	303720
17	2209	304626
18	2330	304283
19	2453	304228
20	2563	302570
21	2656	299237
22	2751	296334
23	2855	294635
24	2973	294402
25	3163	301031
26	3279	300391
27	3395	299769
28	3504	298633
29	3612	297439
30	3722	296518
31	3844	296534
32	3960	296086
33	4072	295363
34	4277	301269
35	4385	300156
36	4512	300417
37	4636	300426
38	4762	300544
39	4885	300445
40	4996	299669
41	5122	299769
42	5261	300646
43	5474	305583
44	5597	305383
45	5730	305723
46	5855	305615
47	5985	305750
48	6098	305046
49	6217	304642
50	6350	304944
51	6463	304295
52	6614	305400
53	6728	304759
54	6853	304650
55	6960	303760
56	7071	303085
57	7174	302069
58	7270	300798
59	7366	299560
60	7455	298102
61	7552	296998
62	7657	296228
63	7762	295459
64	7875	295041
65	7966	293780
66	8065	292887
67	8164	292002
68	8256	290876
69	8354	290037
70	8452	289167
71	8546	288217
72	8817	293150
73	8931	292812
74	9045	292476
75	9137	291432
76	9234	290594
77	9334	289839
78	9437	289224
79	9542	288660
80	9641	287941
81	9739	287208
82	9905	288455
83	10019	288176
84	10147	288305
85	10263	288086
86	10374	287746
87	10501	287827
88	10627	287903
89	10753	287945
90	10860	287501
91	10991	287699
92	11129	288038
93	11249	287938
94	11355	287480
95	11452	286785
96	11559	286357
97	11674	286153
98	11797	286122
99	11919	286068
100	12030	285742
101	12302	289218
102	12410	288811
103	12511	288239
104	12608	287604
105	12715	287173
106	12838	287136
107	12957	286982
108	13083	286996
109	13182	286413
110	13272	285656
111	13472	287250
112	13597	287229
113	13707	286895
114	13818	286582
115	13934	286384
116	14042	286011
117	14139	285426
118	14233	284787
119	14331	284231
120	14426	283647
121	14622	285014
122	14735	284768
123	14835	284260
124	14931	283705
125	15039	283366
126	15142	282943
127	15254	282683
128	15356	282254
129	15458	281821
130	15565	281488
131	15672	281148
132	15794	281098
133	15907	280873
134	16019	280643
135	16137	280510
136	16232	279979
137	16321	279359
138	16419	278888
139	16514	278386
140	16642	278432
141	16796	278917
142	16901	278579
143	17012	278341
144	17115	277979
145	17226	277739
146	17333	277453
147	17432	277040
148	17537	276712
149	17642	276405
150	17746	276073
151	17931	276991
152	18049	276879
153	18184	277017
154	18299	276855
155	18410	276623
156	18537	276649
157	18649	276444
158	18757	276165
159	18866	275917
160	19042	276652
161	19177	276777
162	19312	276887
163	19451	277066
164	19621	277678
165	19740	277555
166	19836	277114
167	19936	276742
168	20151	277947
169	20262	277711
170	20357	277273
171	20451	276813
172	20553	276464
173	20659	276173
174	20754	275741
175	20846	275265
176	20945	274892
177	21032	274362
178	21136	274070
179	21280	274281
180	21387	274016
181	21490	273703
182	21595	273429
183	21692	273039
184	21794	272730
185	21895	272403
186	21985	271937
187	22071	271430
188	22182	271239
189	22456	273020
190	22565	272798
191	22687	272719
192	22791	272436
193	22889	272077
194	22980	271643
195	23078	271295
196	23179	270981
197	23277	270635
198	23372	270246
199	23474	269962
200	23581	269721
201	23683	269424
202	23783	269118
203	23885	268831
204	23988	268555
205	24103	268416
206	24210	268187
207	24314	267922
208	24420	267694
209	24528	267481
210	24674	267680
211	24795	267600
212	24895	267309
213	24999	267049
214	25102	266782
215	25229	266781
216	25361	266816
217	25480	266729
218	25597	266612
219	25958	269027
220	26075	268899
221	26191	268756
222	26300	268550
223	26406	268304
224	26516	268112
225	26660	268258
226	26776	268121
227	26893	267991
228	27001	267776
229	27116	267628
230	27233	267499
231	27357	267440
232	27456	267136
233	27552	266809
234	27656	266562
235	27759	266299
236	27853	265956
237	27965	265793
238	28119	266020
239	28231	265850
240	28340	265649
241	28447	265429
242	28555	265227
243	28672	265099
244	28775	264853
245	28873	264557
246	28971	264265
247	29092	264177
248	29234	264281
249	29350	264152
250	29455	263921
251	29568	263768
252	29679	263595
253	29791	263429
254	29897	263214
255	30008	263040
256	30128	262951
257	30385	264043
258	30510	263994
259	30626	263858
260	30735	263662
261	30848	263508
262	30959	263331
263	31059	263066
264	31175	262932
265	31279	262703
266	31484	263317
267	31593	263120
268	31705	262957
269	31809	262725
270	31922	262568
271	32029	262357
272	32139	262175
273	32243	261945
274	32339	261653
275	32443	261432
276	32723	262612
277	32841	262496
278	32966	262431
279	33089	262355
280	33205	262219
281	33325	262110
282	33435	261931
283	33551	261794
284	33655	261565
285	33860	262126
286	33979	262012
287	34100	261909
288	34210	261724
289	34306	261438
290	34410	261213
291	34522	261050
292	34632	260864
293	34721	260531
294	34819	260263
295	35035	260874
296	35153	260752
297	35277	260673
298	35390	260516
299	35510	260407
300	35623	260250
301	35723	259998
302	35822	259743
303	35930	259551
304	36170	260311
305	36277	260108
306	36384	259906
307	36489	259688
308	36587	259430
309	36690	259202
310	36803	259045
311	36935	259023
312	37070	259016
313	37176	258815
314	37387	259341
315	37504	259205
316	37633	259161
317	37750	259029
318	37858	258838
319	37980	258739
320	38091	258571
321	38188	258305
322	38286	258050
323	38391	257841
324	38516	257767
325	38650	257747
326	38759	257566
327	38871	257407
328	38990	257288
329	39100	257114
330	39194	256837
331	39303	256654
332	39413	256483
333	39692	257406
334	39808	257272
335	39928	257160
336	40053	257079
337	40162	256898
338	40275	256739
339	40381	256538
340	40481	256303
341	40582	256073
342	40796	256552
343	40920	256467
344	41050	256415
345	41167	256287
346	41276	256102
347	41396	255990
348	41500	255778
349	41596	255521
350	41693	255270
351	41794	255044
352	41997	255436
353	42117	255320
354	42217	255089
355	42313	254831
356	42411	254585
357	42515	254380
358	42628	254230
359	42735	254041
360	42835	253807
361	42939	253602
362	43087	253659
363	43207	253546
364	43320	253394
365	43430	253226
366	43533	253017
367	43636	252805
368	43742	252614
369	43851	252441
370	43951	252216
371	44142	252514
372	44260	252390
373	44363	252182
374	44459	251938
375	44551	251669
376	44654	251464
377	44751	251224
378	44862	251066
379	44992	251011
380	45112	250899
381	45308	251215
382	45408	250989
383	45516	250814
384	45620	250614
385	45739	250500
386	45898	250600
387	46008	250435
388	46132	250348
389	46244	250196
390	46558	251127
391	46669	250966
392	46798	250904
393	46925	250825
394	47049	250730
395	47174	250645
396	47303	250578
397	47415	250422
398	47530	250279
399	47752	250699
400	47881	250632
401	47991	250465
402	48094	250260
403	48205	250098
404	48315	249929
405	48437	249823
406	48565	249748
407	48689	249653
408	48910	250051
409	49019	249878
410	49138	249758
411	49246	249580
412	49346	249362
413	49455	249188
414	49558	248988
415	49682	248891
416	49821	248867
417	50128	249682
418	50278	249712
419	50409	249648
420	50526	249511
421	50638	249350
422	50750	249195
423	50866	249053
424	50976	248884
425	51090	248738
426	51306	249084
427	51421	248937
428	51545	248834
429	51663	248704
430	51786	248598
431	51900	248450
432	52006	248261
433	52115	248088
434	52221	247903
435	52431	248208
436	52556	248107
437	52672	247968
438	52782	247802
439	52897	247656
440	53005	247479
441	53110	247286
442	53221	247127
443	53333	246967
444	53576	247413
445	53694	247285
446	53814	247159
447	53922	246986
448	54031	246810
449	54133	246606
450	54239	246421
451	54344	246234
452	54460	246095
453	54577	245961
454	54802	246311
455	54915	246155
456	55024	245983
457	55132	245807
458	55236	245616
459	55341	245426
460	55446	245239
461	55561	245098
462	55681	244973
463	55806	244875
464	55953	244872
465	56060	244693
466	56179	244569
467	56289	244402
468	56394	244217
469	56497	244020
470	56599	243821
471	56703	243633
472	56812	243466
473	56919	243290
474	57077	243329
475	57177	243126
476	57277	242917
477	57371	242689
478	57464	242452
479	57570	242274
480	57680	242115
481	57785	241933
482	57892	241759
483	57986	241528
484	58194	241776
485	58311	241644
486	58429	241518
487	58537	241345
488	58637	241143
489	58760	241036
490	58881	240921
491	58995	240776
492	59105	240616
493	59214	240454
494	59387	240549
495	59494	240376
496	59596	240186
497	59711	240043
498	59816	239864
499	59917	239669
500	60017	239471
501	60118	239276
502	60218	239078
503	60320	238886
504	60593	239373
505	60715	239261
506	60839	239158
507	60945	238982
508	61056	238827
509	61167	238671
510	61273	238500
511	61380	238327
512	61488	238164
513	61712	238443
514	61855	238413
515	61992	238359
516	62112	238238
517	62221	238073
518	62346	237975
519	62468	237861
520	62592	237757
521	62724	237680
522	62962	238006
523	63102	237959
524	63232	237876
525	63369	237815
526	63490	237697
527	63602	237545
528	63711	237380
529	63814	237196
530	63908	236980
531	64202	237501
532	64324	237385
533	64425	237191
534	64533	237025
535	64645	236873
536	64748	236687
537	64854	236513
538	64957	236329
539	65058	236139
540	65174	236002
541	65383	236201
542	65526	236160
543	65646	236039
544	65760	235892
545	65886	235792
