iter	AUC	CrossEntropy
0	0.8183278171	0.6555214818
1	0.8220889688	0.6254893781
2	0.823842495	0.6024166793
3	0.8256411845	0.584489692
4	0.8263919641	0.5699585967
5	0.8262709136	0.5580610212
6	0.827051111	0.5490922309
7	0.827693933	0.5417036544
8	0.8280775125	0.5356322926
9	0.8292375872	0.5312005502
10	0.8299509235	0.5273025367
11	0.8303857688	0.5239700191
12	0.8309626553	0.5212406249
13	0.8310943961	0.5185711386
14	0.8313640729	0.5164737378
15	0.8319076048	0.5148816751
16	0.8326765488	0.5135048046
17	0.8329334325	0.5120789976
18	0.8331276177	0.5108658576
19	0.8335110647	0.5098664252
20	0.8335871656	0.5087332604
21	0.8339039755	0.5078846893
22	0.8340831616	0.5070700665
23	0.834479371	0.5064863119
24	0.8349906175	0.5058695315
25	0.8351227872	0.5052956574
26	0.8354488863	0.5047527422
27	0.8358498338	0.5041736884
28	0.8362033843	0.5035852519
29	0.836487234	0.5030808199
30	0.8369361367	0.5025912165
31	0.8371954572	0.5020987101
32	0.8373798848	0.5015915281
33	0.8377276209	0.5011588062
34	0.8379981406	0.5007310103
35	0.8381987571	0.5003050489
36	0.838561769	0.4999060628
37	0.83890297	0.4995224813
38	0.8392320917	0.4991536083
39	0.8392798679	0.4986725357
40	0.8394763432	0.4983186288
41	0.8396972198	0.4979462079
42	0.8397810032	0.4975904616
43	0.8400713693	0.4972558574
44	0.8403384949	0.4969048303
45	0.8405967997	0.4966067088
46	0.8406260915	0.4962908645
47	0.8408761536	0.4959889097
48	0.8410938027	0.4956798949
49	0.8412951562	0.4953944186
50	0.8414661413	0.4950701336
51	0.8415644233	0.4947911045
52	0.8416845738	0.4945137303
53	0.8418348696	0.4942301532
54	0.8419971484	0.4939723182
55	0.8421770976	0.4937155285
56	0.8423759879	0.4934624462
57	0.8424862876	0.4932133889
58	0.8426141211	0.4929710679
59	0.8427138054	0.4927338577
60	0.8428596378	0.4924995844
61	0.8430122316	0.4922865912
62	0.8431573784	0.492062958
