iter	AUC	CrossEntropy
0	0.8223044195	0.6540144654
1	0.8261006119	0.6238915514
2	0.827106229	0.5996891759
3	0.8275165329	0.5806928477
4	0.828117995	0.5658809831
5	0.8287070807	0.5545532272
6	0.8295374801	0.5453911824
7	0.8297289813	0.5378026937
8	0.8306747592	0.5321251042
9	0.831458961	0.5274205741
10	0.8320397506	0.5234798697
11	0.8323231136	0.519971273
12	0.8324359177	0.5170073556
13	0.8331970179	0.514754746
14	0.8339751387	0.5129258537
15	0.8341414431	0.5109856224
16	0.8346816651	0.5095326874
17	0.8351007976	0.5081780975
18	0.8355161898	0.506965699
19	0.8360044169	0.5059901744
20	0.8364439845	0.5050804779
21	0.8367250994	0.5041010982
22	0.837003302	0.5032797134
23	0.8373769459	0.5026406736
24	0.837841786	0.5019785521
25	0.8379868608	0.5011883754
26	0.8383422561	0.5006135988
27	0.8387413043	0.5000627144
28	0.8391237575	0.4995372951
29	0.839518985	0.4990064623
30	0.8397493032	0.4984351191
31	0.8401091571	0.4979633331
32	0.8404509795	0.4974403332
33	0.8404740443	0.4968738145
34	0.8406425793	0.4964324923
35	0.840952612	0.4960221168
36	0.8411382036	0.4956092687
37	0.8414481562	0.4951997192
38	0.8417857735	0.4948078398
39	0.8420724942	0.4944248087
40	0.8422588973	0.49404997
41	0.84251117	0.4936667469
42	0.842710429	0.4933105095
43	0.8429519205	0.4929689014
44	0.8431173434	0.4926211599
45	0.8433205235	0.4922933254
46	0.8435449825	0.4919794174
47	0.8436919776	0.4916773761
48	0.8438916904	0.4913400321
49	0.844083873	0.4910469551
50	0.8442614386	0.4907624384
51	0.8444460093	0.4904834979
52	0.8445834529	0.4902006256
53	0.8447515076	0.489922242
54	0.8448214326	0.4896655782
55	0.8450165569	0.4894226188
56	0.8452071163	0.4891870635
57	0.8453071237	0.4889352868
58	0.8454327049	0.4886365353
59	0.8455496736	0.4884013823
60	0.8456445557	0.488113778
61	0.8457831674	0.4878758647
62	0.8459665568	0.4876483954
63	0.8461079635	0.4874256687
64	0.8462134181	0.4871793146
65	0.8463826408	0.486959997
66	0.8465289196	0.4867474224
67	0.8466191394	0.4865402795
68	0.8467019955	0.486338405
69	0.8467723774	0.4861155154
70	0.846879303	0.4859201081
71	0.8470152121	0.4857421684
72	0.8471538979	0.4855546348
73	0.8471739736	0.4853021693
74	0.847265543	0.4851327729
75	0.8473465058	0.4849544678
76	0.8474390429	0.4847926387
77	0.8475201233	0.4846232296
78	0.847628617	0.4844653003
79	0.8477277855	0.4842974028
80	0.8478015911	0.4841023818
81	0.8478925799	0.483947973
82	0.8480042383	0.4837858304
83	0.8480697969	0.4836120404
84	0.8481620995	0.4834649311
85	0.8482236261	0.4833187986
86	0.8483154019	0.4831691235
87	0.848416826	0.4830232591
88	0.8484641761	0.4828491357
89	0.848529087	0.4827149031
90	0.8486259645	0.4825846844
91	0.8486991852	0.4824511547
92	0.8487789995	0.4823133459
93	0.8488507462	0.4821844243
94	0.8489239452	0.4820685911
95	0.8490241301	0.4819380358
96	0.8490873927	0.4817852615
97	0.8491460242	0.4816643959
98	0.8492024827	0.481533428
99	0.8492878428	0.4814163028
100	0.8493781388	0.4812902525
101	0.8494383793	0.4811712923
102	0.8495062299	0.4810516565
103	0.8495752452	0.4809199456
104	0.8496149987	0.480804669
105	0.8496812442	0.4807058674
106	0.849752932	0.4805829084
107	0.8498214855	0.4804804506
108	0.8499007147	0.4803721562
109	0.8499667742	0.4802684026
110	0.8500096877	0.4801560942
111	0.8500847886	0.4800479007
112	0.8501461028	0.4799414592
113	0.8502138795	0.4798375189
114	0.8502882537	0.4797346252
115	0.8503454274	0.4796158197
116	0.8504038325	0.4795244833
117	0.8504679653	0.4794314208
118	0.8505044376	0.4793293074
119	0.8505701787	0.4792366527
120	0.8506295642	0.4791393032
121	0.8506839589	0.4790362195
122	0.8507374485	0.478945855
123	0.8507799101	0.4788498484
124	0.8508135667	0.4787650434
125	0.850852939	0.4786692718
126	0.8508870914	0.4785777749
127	0.85094714	0.4784920101
128	0.8510008692	0.4784032733
129	0.8510489108	0.4783291122
130	0.8510849426	0.4782262663
131	0.851134601	0.478140014
132	0.8511744003	0.4780559643
133	0.8512287449	0.4779816762
134	0.8512854896	0.4779025277
135	0.8513485511	0.4778166953
136	0.851383846	0.4777350505
137	0.851443772	0.4776515214
138	0.8514732773	0.4775370813
139	0.8515200237	0.4774562662
140	0.8515692976	0.4773751842
141	0.8516192576	0.47729652
142	0.8516614462	0.4772019177
143	0.8517012211	0.477126739
144	0.851753291	0.4770513193
145	0.8518087066	0.4769730789
146	0.8518620384	0.4768990963
147	0.8519095722	0.4768211476
148	0.8519183286	0.4767039664
149	0.8519587116	0.4766257795
150	0.8520128329	0.4765529743
151	0.8520433423	0.4764680542
152	0.8520829499	0.4763929723
153	0.8520778955	0.4762650985
154	0.8521177102	0.4761926688
155	0.85213658	0.4761124792
156	0.8521856278	0.4760372067
157	0.852226981	0.4759541828
158	0.8522770073	0.4758819204
159	0.8523245968	0.4758126927
160	0.8523558991	0.4757421197
161	0.8524007851	0.4756679681
162	0.8524446194	0.4755989133
163	0.8524938072	0.4755278376
164	0.8525461608	0.475458649
165	0.8525933445	0.4753887414
166	0.8526343258	0.4753204157
167	0.8526526842	0.4752375906
168	0.8526940479	0.4751686019
