iter	Passed	Remaining
0	738	18461986
1	1233	15416936
2	1459	12162528
3	1711	10692071
4	1958	9789560
5	2623	10928876
6	3202	11432991
7	3428	10710995
8	3676	10208812
9	3903	9754846
10	4120	9360732
11	4946	10300811
12	5447	10469743
13	5695	10164973
14	5959	9926453
15	6246	9753433
16	7259	10668762
17	7759	10768655
18	8005	10525174
19	8227	10276042
20	8509	10121812
21	9005	10224388
22	9646	10475724
23	9882	10283924
24	10093	10083035
25	10313	9906733
26	10561	9768577
27	11118	9916508
28	11778	10142447
29	12011	9997909
30	12215	9839290
31	12421	9691706
32	12664	9581773
33	13081	9605401
34	13710	9779742
35	13949	9672935
36	14182	9568554
37	14415	9469365
38	14681	9396689
39	15558	9708608
40	16100	9801474
41	16388	9738527
42	16637	9656479
43	16863	9564518
44	17171	9522607
45	17803	9658056
46	18058	9587558
47	18291	9508451
48	18532	9436647
49	18753	9358064
50	19254	9419229
51	19737	9469373
52	20029	9428018
53	20269	9363614
54	20517	9305406
55	20777	9255047
56	21555	9432820
57	22063	9488218
58	22278	9417637
59	22507	9355578
60	22745	9299206
61	22980	9243284
62	23611	9346137
63	24115	9395839
64	24307	9324830
65	24546	9273252
66	24817	9235319
67	25262	9262389
68	25842	9337444
69	26330	9377524
70	26620	9346674
71	26881	9306816
72	27128	9263365
73	27946	9413528
74	28448	9454461
75	28653	9396970
76	28901	9354802
77	29137	9309935
78	29493	9303980
79	30150	9392031
80	30401	9352762
81	30634	9309190
82	30847	9260682
83	31071	9216481
84	31754	9307916
85	32263	9346744
86	32488	9303422
87	32710	9259987
88	32944	9221044
89	33191	9186653
90	34052	9321013
91	34565	9358147
92	34786	9316370
93	35010	9276414
94	35261	9244138
95	35573	9228473
96	36170	9286238
97	36562	9290661
98	36811	9259136
99	37027	9219829
100	37244	9181666
101	37534	9161994
102	38152	9222177
103	38633	9248160
104	38842	9209329
105	39082	9178510
106	39301	9143242
107	39752	9162296
108	40411	9228241
109	40694	9208111
110	40942	9180251
111	41155	9145315
112	41406	9119345
113	42238	9220506
114	42756	9252032
115	42990	9222115
116	43233	9194738
117	43473	9166975
118	43948	9188927
119	44595	9246142
120	44854	9222646
121	45080	9192711
122	45316	9165445
123	45564	9140873
124	46194	9192673
125	46703	9219835
126	46914	9188145
127	47161	9164000
128	47428	9144132
129	48092	9200461
130	48586	9223718
131	48842	9201660
132	49078	9176219
133	49329	9153878
134	49552	9126839
135	50387	9212040
136	50920	9241188
137	51174	9219611
138	51404	9193927
139	51622	9166735
140	51849	9141258
141	52428	9178027
142	52860	9188454
143	53077	9161685
144	53314	9138832
145	53587	9122322
146	54137	9152941
147	54703	9185704
148	54947	9164443
149	55150	9136540
150	55348	9108253
151	55581	9086116
152	55873	9073775
153	56491	9114185
154	56937	9126506
155	57160	9103115
156	57382	9080008
157	57660	9065796
158	58363	9118225
159	58913	9146288
160	59144	9124854
161	59359	9101084
162	59609	9082886
163	59862	9065469
164	60690	9134853
165	61168	9150908
166	61383	9127812
167	61585	9102963
168	61811	9081898
169	62016	9058105
170	62751	9111475
171	63217	9125368
172	63434	9103366
173	63659	9082870
174	63890	9063379
175	64109	9042309
176	64888	9100163
177	65320	9108904
178	65560	9090936
179	65780	9070363
180	65989	9048568
181	66390	9053179
182	67048	9092536
183	67281	9074263
184	67495	9053452
185	67712	9033365
186	67964	9018185
187	68686	9065110
188	69193	9083429
189	69407	9063194
190	69616	9042528
191	69847	9024830
192	70093	9009353
193	70677	9037209
194	71213	9058716
195	71446	9041570
196	71644	9020295
197	71870	9002736
198	72091	8984678
199	72701	9015017
200	73222	9034006
201	73460	9018190
202	73695	9002060
203	73965	8990381
204	74468	9007013
205	74902	9015213
206	75164	9002687
207	75409	8988258
208	75639	8972111
209	75898	8959632
210	76635	9003398
211	77191	9025551
212	77415	9008960
213	77637	8992119
214	77882	8978188
215	78107	8962076
216	78818	9001637
217	79362	9021846
218	79606	9007919
219	79868	8996086
220	80156	8987351
221	80966	9036923
222	81464	9051346
223	81661	9032386
224	81854	9013039
225	82134	9003501
226	82381	8990428
227	83101	9028907
228	83628	9046139
229	83870	9032441
230	84126	9020478
231	84367	9006956
232	84988	9033960
233	85698	9070084
234	85916	9054108
235	86128	9037611
236	86361	9023472
237	86604	9010548
238	87239	9038206
239	87854	9063658
240	88094	9050312
241	88378	9041627
242	88612	9027860
243	88862	9015934
244	89707	9064113
245	90179	9074429
246	90407	9060132
247	90612	9043678
248	90845	9030183
249	91380	9046621
250	91910	9062551
251	92173	9052013
252	92397	9037806
253	92596	9021280
254	92812	9006422
255	93209	9009276
256	93641	9015488
257	93940	9008838
258	94187	8997240
259	94444	8986803
260	94703	8976527
261	95414	9009020
262	95855	9015889
263	96084	9002852
264	96336	8992003
265	96577	8980238
266	97201	9004093
267	97923	9036761
268	98166	9025157
269	98394	9012217
270	98618	8999073
271	98901	8991307
272	99486	9011010
273	100016	9025570
274	100224	9011068
275	100445	8997864
276	100668	8984915
277	100937	8976179
278	101743	9015086
279	102275	9029455
280	102502	9016900
281	102732	9004785
282	103001	8996098
283	103305	8990493
284	103904	9010524
285	104313	9014019
286	104549	9002536
287	104768	8989691
288	105003	8978324
289	105280	8970664
290	105868	8989352
291	106339	8998064
292	106589	8988044
293	106809	8975639
294	107048	8964894
295	107586	8979116
296	108008	8983583
297	108256	8973674
298	108475	8961406
299	108705	8950061
300	108968	8941555
301	109409	8947639
302	109960	8962698
303	110197	8952105
304	110402	8939021
305	110602	8925512
306	110815	8913264
307	111045	8902406
308	111653	8921814
309	112172	8934001
310	112390	8922205
311	112598	8909710
312	112818	8898211
313	113063	8888774
314	113726	8912215
315	114245	8924202
316	114461	8912478
317	114663	8899764
318	114895	8889492
319	115137	8879968
320	115881	8909156
321	116312	8914156
322	116546	8904088
323	116753	8892019
324	116987	8882044
325	117286	8877061
326	117873	8893875
327	118318	8899877
328	118536	8888781
329	118753	8877731
330	118974	8866995
331	119182	8855382
332	119862	8878836
333	120376	8889870
334	120616	8880600
335	120848	8870833
336	121071	8860476
337	121486	8864233
338	122065	8879782
339	122508	8885441
340	122720	8874403
341	122947	8864412
342	123178	8854813
343	123634	8861449
344	124172	8873826
345	124625	8880132
346	124812	8867468
347	125016	8856076
348	125263	8847733
349	125497	8838608
350	126220	8863871
351	126680	8870484
352	126887	8859498
353	127100	8848906
354	127403	8844667
355	128039	8863480
356	128657	8880942
357	128879	8871086
358	129139	8863877
359	129367	8854465
360	129573	8843672
361	130371	8873215
362	130903	8884485
363	131117	8874210
364	131334	8864182
365	131550	8854143
366	131757	8843525
367	132363	8859746
368	133083	8883437
369	133318	8874706
370	133530	8864507
371	133771	8856260
372	134011	8847973
373	134657	8866503
374	135163	8875719
375	135396	8867062
376	135617	8857563
377	135843	8848505
378	136055	8838577
379	136753	8860160
380	137210	8866099
381	137422	8856172
382	137633	8846266
383	137900	8840023
384	138420	8849921
385	139086	8869129
386	139316	8860474
387	139558	8852587
388	139805	8845140
389	140056	8837895
390	140710	8856109
391	141340	8872720
392	141634	8868202
393	141863	8859617
394	142066	8849484
395	142316	8842317
396	142964	8859819
397	143570	8874661
398	143831	8868168
399	144081	8861033
400	144295	8851666
401	144721	8855396
402	145290	8867780
403	145746	8873242
404	145998	8866267
405	146199	8856209
406	146437	8848491
407	146978	8859080
408	147361	8860077
409	147687	8857621
410	147977	8853110
411	148276	8849085
412	148946	8867192
413	149562	8882018
414	149812	8875041
415	150051	8867438
416	150294	8860171
417	150528	8852374
418	151063	8862253
419	151485	8865532
420	151762	8860278
421	151980	8851618
422	152276	8847536
423	152553	8842365
424	153379	8868929
425	153878	8876569
426	154131	8869939
427	154377	8862993
428	154675	8859026
429	155493	8884837
430	156035	8894746
431	156235	8885143
432	156495	8879038
433	156743	8872268
434	157004	8866251
435	157626	8880597
436	158114	8887350
437	158367	8880869
438	158591	8872799
439	158836	8865964
440	159478	8881232
441	159946	8886785
442	160157	8878101
443	160364	8869194
444	160574	8860444
445	160808	8853126
446	161306	8860290
447	161911	8873317
448	162440	8882153
449	162697	8876074
450	162972	8870968
451	163236	8865322
452	163827	8877414
453	164392	8888037
454	164599	8879322
455	164808	8870733
456	165027	8862740
457	165264	8855713
458	165898	8869950
459	166451	8879808
460	166710	8873990
461	166934	8866311
462	167172	8859402
463	167450	8854680
464	168072	8868063
465	168494	8870920
466	168738	8864353
467	168998	8858716
468	169279	8854158
469	170173	8881623
470	170712	8890470
471	170937	8882976
472	171143	8874493
473	171390	8868189
474	171619	8860967
475	172486	8886699
476	173015	8894870
477	173240	8887478
478	173455	8879524
479	173690	8872698
480	173939	8866563
481	174535	8878132
482	175024	8884204
483	175260	8877449
484	175509	8871347
485	175775	8866179
486	176541	8886169
487	177121	8896750
488	177357	8889990
489	177574	8882354
490	177845	8877430
491	178097	8871578
492	178729	8884617
493	179175	8888431
494	179416	8882038
495	179647	8875161
496	179888	8868816
497	180339	8872847
498	180962	8885284
499	181230	8880290
500	181481	8874459
501	181705	8867381
502	181982	8862858
503	182861	8887651
504	183395	8895577
505	183597	8887444
506	183837	8881105
507	184071	8874579
508	184539	8879282
509	185128	8889810
510	185553	8892410
511	185801	8886550
512	186025	8879521
513	186288	8874414
514	186876	8884806
515	187412	8892670
516	187649	8886315
