iter	AUC	CrossEntropy
0	0.8206016722	0.6547876588
1	0.825262062	0.6240598549
2	0.8263991987	0.6000983085
3	0.8275881407	0.5809727563
4	0.8284193329	0.5661403764
5	0.8286054513	0.5545217779
6	0.8297592255	0.5453453387
7	0.8303412459	0.538082629
8	0.8303672516	0.53179009
9	0.8307462628	0.5268532466
10	0.8312087771	0.5226376085
11	0.8322109685	0.5197498178
12	0.8330602131	0.5172187853
13	0.8330336756	0.5146381788
14	0.8336458079	0.5126876631
15	0.8342833248	0.5111178314
16	0.8343413321	0.5093732084
17	0.8347730267	0.508048551
18	0.8351077703	0.5069318546
19	0.8356191994	0.5059472193
20	0.8358399583	0.5049168302
21	0.8363537886	0.5041584308
22	0.836607472	0.503346897
23	0.8369914459	0.5026328929
24	0.8374584498	0.5020370337
25	0.8377971729	0.5014853766
26	0.8380407033	0.5008260652
27	0.8382756087	0.5002080545
28	0.8384843296	0.4996942789
29	0.8386340689	0.4991828112
30	0.8389744526	0.4986399818
31	0.8392669599	0.4981825508
32	0.8396008656	0.4977692934
33	0.8398277572	0.4973441866
34	0.8400611188	0.4969343814
35	0.8403688196	0.4965459637
36	0.8406660361	0.4961287403
37	0.840941952	0.4957330942
38	0.8411254054	0.4953048035
39	0.8412818835	0.4949247302
40	0.8414885893	0.494567521
41	0.841763791	0.4942342081
42	0.8419777442	0.4939045902
43	0.8421441209	0.4935871289
44	0.8422937798	0.493227616
45	0.8424479712	0.4929232623
46	0.8426191284	0.4926044782
47	0.8427551015	0.4923017416
48	0.8429184739	0.4920153802
49	0.8430952985	0.491727962
50	0.8432674532	0.491459275
51	0.8434129336	0.4912188905
52	0.8435863033	0.4909589451
53	0.8436762407	0.4907179081
54	0.8437530065	0.4904040083
55	0.8438857619	0.4901523592
56	0.8440181413	0.4899110137
57	0.8441449856	0.4896808645
58	0.8443219977	0.4894570542
59	0.8444600496	0.4892508991
60	0.8445719062	0.4890348553
61	0.8446950921	0.4887939396
62	0.8448111862	0.4885921376
63	0.8449243017	0.4883839949
64	0.8450276857	0.4881737475
65	0.845079394	0.487972382
66	0.8451879698	0.4877887638
67	0.8452563422	0.4876063384
68	0.8453452371	0.4874314613
69	0.8453834478	0.4872208925
70	0.8454952899	0.4870577214
71	0.8455982398	0.4868881358
72	0.8456684079	0.4867308154
73	0.8457536743	0.486562181
74	0.8458235186	0.4863936326
75	0.8458831969	0.4862326413
76	0.8458901882	0.4860266826
77	0.8459761705	0.4858787226
78	0.8460632891	0.4857367144
79	0.8461475195	0.4855954919
80	0.8461979156	0.4854359487
81	0.8462760206	0.4852997839
82	0.8463408626	0.485172779
83	0.8463964106	0.4850468699
84	0.8464708619	0.4849285799
85	0.8465305644	0.4848095325
86	0.8465934869	0.4846906882
87	0.8466526733	0.484557787
88	0.8466895107	0.4844443246
89	0.8467573672	0.4843412078
90	0.8468052594	0.4842114819
91	0.8468331505	0.4840967478
92	0.8468652977	0.4839839386
93	0.8469121747	0.4838909723
94	0.8469656831	0.4837897413
95	0.8470122507	0.4836928389
96	0.8470561887	0.4835986272
97	0.8471028285	0.4835171053
98	0.8471453067	0.4834096606
99	0.8471943803	0.4833182895
100	0.8471934841	0.4831740359
101	0.8472166959	0.483059904
102	0.8472657049	0.4829782055
103	0.847305262	0.4828927558
104	0.847333513	0.4828098733
105	0.8473749164	0.4827230818
106	0.8474175004	0.482637876
107	0.8474593397	0.4825663541
108	0.8474864147	0.4824994754
109	0.8475291207	0.4824190787
110	0.8475434429	0.4823500133
111	0.8475497409	0.4822822385
112	0.8475781837	0.4822051499
113	0.8476152554	0.4821406074
114	0.8476538516	0.4820743219
115	0.8476673631	0.4820011865
116	0.8477054323	0.481940814
117	0.8477345157	0.4818657662
118	0.8477651825	0.4817921628
119	0.8477999978	0.4817299905
120	0.8478263721	0.4816727427
121	0.8478522281	0.481614178
122	0.8478795254	0.481554598
123	0.847906294	0.4814909538
124	0.8479235892	0.4814324322
125	0.8479452092	0.4813789002
126	0.8479723974	0.4813279033
127	0.8479997072	0.4812780838
128	0.848012433	0.4812090185
129	0.8480394714	0.4811555112
130	0.8480580718	0.481108092
131	0.8480728802	0.4810579777
132	0.8480940988	0.4809986861
133	0.8481052715	0.4809336799
134	0.8481340223	0.4808870467
135	0.848160864	0.4808372837
136	0.8481712144	0.4807640432
137	0.8481891304	0.4807087906
138	0.8482113535	0.4806624922
139	0.848231823	0.4806196342
140	0.8482536094	0.4805701948
141	0.8482649724	0.4805013567
142	0.8482751608	0.4804410104
143	0.8482867066	0.4803998417
144	0.8483083399	0.4803575943
145	0.8483319221	0.4803196691
146	0.8483526158	0.4802698166
147	0.8483691739	0.4802268356
148	0.8483839321	0.4801477723
149	0.8484020322	0.4801083928
150	0.8484233209	0.4800633689
151	0.8484406617	0.4800208056
152	0.848456069	0.4799792072
153	0.8484691201	0.4799301978
154	0.8484873468	0.4798911692
155	0.8485102831	0.4798540466
156	0.8485287552	0.4798168479
157	0.8485430357	0.479779295
158	0.8485658007	0.4797309335
159	0.8485862796	0.4796932377
160	0.8486072233	0.4796586259
161	0.8486270015	0.4796235021
162	0.8486396447	0.4795669475
163	0.8486512224	0.479530573
164	0.8486602674	0.4794823481
165	0.8486800937	0.4794485371
166	0.8486990055	0.4794143483
167	0.8487189007	0.4793822947
168	0.8487298004	0.4793342599
169	0.8487471611	0.4792995896
170	0.8487639454	0.4792659148
171	0.8487801621	0.4792311036
172	0.8487966788	0.4791995904
173	0.8488059085	0.4791469386
174	0.8488233605	0.4791125707
175	0.8488422447	0.4790804671
176	0.8488570464	0.4790518001
177	0.8488618436	0.4789960405
178	0.8488786616	0.4789691248
179	0.8488957991	0.4789407476
180	0.8489148471	0.4789099229
181	0.8489315397	0.4788806424
182	0.8489461565	0.4788518257
183	0.8489616698	0.4788251846
184	0.8489785839	0.4787911544
185	0.8489868713	0.478751727
186	0.8490020058	0.4787223014
187	0.8490017476	0.4786705436
188	0.8490153605	0.4786452466
189	0.8490315803	0.4786194016
190	0.8490312182	0.478560922
191	0.8490482694	0.4785321354
192	0.8490635134	0.4785069433
193	0.84907854	0.4784822446
194	0.8490871313	0.4784540513
195	0.8490987336	0.4784259181
196	0.8491138631	0.478400836
197	0.8491271648	0.4783763116
198	0.8491428994	0.4783511
199	0.8491588731	0.478321161
200	0.8491735744	0.4782955224
201	0.8491877216	0.4782709766
202	0.8492022779	0.4782474908
203	0.8492155603	0.4782219277
204	0.8492285389	0.4781974384
205	0.8492412427	0.478157948
206	0.8492545648	0.4781351922
207	0.8492702577	0.4781105703
208	0.849283295	0.4780870751
209	0.8492927321	0.478062128
210	0.8493051067	0.478040246
211	0.8493195413	0.4780180012
212	0.8493328601	0.477994997
213	0.8493451077	0.4779729435
214	0.8493589796	0.4779510713
215	0.8493700083	0.4779303189
216	0.8493823332	0.4779081468
217	0.8493949541	0.4778882894
218	0.8494088325	0.4778680364
219	0.8494217453	0.4778477705
220	0.8494345205	0.4778270816
221	0.849438572	0.4777937897
222	0.8494495954	0.4777718688
223	0.8494581753	0.4777476668
224	0.8494644858	0.4777164034
225	0.8494780949	0.477697224
226	0.8494929519	0.477675316
227	0.8495022803	0.4776426892
228	0.8495143459	0.4776230907
229	0.8495278654	0.477603034
230	0.8495396867	0.4775826176
231	0.849549988	0.4775554441
232	0.8495612117	0.477536884
233	0.8495725463	0.4775092478
234	0.8495844013	0.4774910645
235	0.8495950635	0.4774684749
236	0.8496068915	0.4774500419
237	0.8496194628	0.4774307726
238	0.8496186179	0.4773885705
239	0.8496309849	0.4773688296
240	0.8496437513	0.4773509774
241	0.8496550043	0.4773304247
242	0.8496685827	0.4773097125
243	0.8496775769	0.477287157
244	0.8496862715	0.477259351
245	0.8496971376	0.4772402788
