iter	Passed	Remaining
0	323	8090042
1	480	6005060
2	663	5524416
3	844	5274821
4	1012	5063032
5	1196	4985523
6	1387	4955632
7	1556	4863070
8	1734	4817305
9	1904	4759362
10	2070	4703829
11	2249	4685194
12	2415	4643105
13	2580	4605828
14	2768	4610906
15	2954	4613107
16	3138	4612494
17	3303	4585204
18	3465	4555957
19	3631	4535295
20	3806	4528044
21	3977	4515451
22	4172	4531488
23	4361	4538563
24	4535	4531402
25	4707	4522106
26	4892	4525004
27	5064	4516386
28	5227	4501366
29	5373	4472949
30	5518	4444877
31	5667	4422215
32	5817	4401692
33	5970	4384150
34	6123	4367840
35	6269	4347564
36	6416	4329116
37	6558	4308314
38	6708	4293615
39	6847	4273004
40	6994	4257853
41	7153	4250828
42	7303	4239174
43	7448	4224450
44	7596	4212614
45	7732	4194916
46	7887	4187842
47	8022	4170549
48	8169	4159750
49	8315	4149536
50	8470	4143494
51	8605	4128788
52	8756	4121884
53	8897	4110356
54	9037	4098736
55	9191	4094030
56	9346	4090009
57	9491	4081574
58	9649	4078913
59	9817	4080613
60	9982	4081337
61	10147	4081460
62	10310	4081276
63	10457	4074545
64	10625	4076130
65	10789	4075982
66	10945	4073272
67	11099	4069641
68	11258	4067912
69	11412	4064391
70	11587	4068629
71	11759	4071460
72	11931	4074053
73	12088	4071928
74	12259	4074162
75	12417	4072384
76	12570	4068870
77	12721	4064734
78	12878	4062609
79	13022	4056538
80	13185	4056515
81	13358	4059380
82	13529	4061597
83	13700	4063928
84	13861	4063148
85	14024	4062896
86	14182	4061315
87	14362	4065973
88	14522	4064964
89	14672	4061023
90	14832	4060048
91	14980	4055684
92	15124	4050513
93	15277	4047902
94	15422	4043214
95	15574	4040291
96	15722	4036510
97	15872	4033176
98	16023	4030395
99	16160	4023932
100	16314	4021933
101	16456	4016958
102	16599	4012308
103	16748	4009272
104	16903	4007792
105	17043	4002681
106	17192	3999762
107	17345	3997730
108	17490	3994120
109	17635	3990437
110	17778	3986427
111	17929	3984196
112	18074	3980631
113	18220	3977559
114	18375	3976384
115	18510	3970801
116	18658	3968117
117	18800	3964302
118	18962	3964854
119	19108	3961881
120	19261	3960474
121	19407	3957580
122	19560	3956189
123	19708	3953753
124	19878	3955819
125	20038	3955866
126	20187	3953695
127	20343	3953035
128	20503	3953031
129	20658	3952162
130	20819	3952279
131	20975	3951707
132	21131	3950968
133	21291	3950946
134	21456	3951917
135	21609	3950811
